SCG ID,Product,Product Version,Component,Component Version,Feature/Function,Implementation Priority,Description/Title,Discussion,Configuration Parameter,Installation Default Value,Baseline Suggested Value,Is the Default?,Action Needed,Setting Location,Potential Functional Impact if Default Value is Changed,PowerCLI Command Assessment,PowerCLI Command Remediation Example,Audited in SCG Tools?,Remediated in SCG Tools?,DISA STIG Mapping,DISA STIG Requirement,DISA STIG Control Exceeds Baseline?,PCI DSS 4.0 Mapping,PCI DSS 4.0 Requirement,PCI DSS 4.0 Control Exceeds Baseline?,VCF Compatible,,,,,,,
esxi-8.network-vgt,VMware vSphere,8,VMware ESXi,8.0.3,Base,P2,The ESXi host must restrict the use of Virtual Guest Tagging (VGT) on Standard Switches.,"When a port group is set to VLAN 4095, the vSwitch passes all network frames to the attached virtual machines (VMs) without modifying the VLAN tags. In vSphere, this is referred to as VGT. The VM must process the VLAN information itself via an 802.1Q driver in the operating system.

VLAN 4095 must only be implemented if the attached VMs have been specifically authorized and are capable of managing VLAN tags themselves. If VLAN 4095 is enabled inappropriately, it may cause denial of service or allow a VM to interact with traffic on an unauthorized VLAN.",N/A,Not VLAN 4095,Not VLAN 4095,YES,Audit,ESXi Port Group Configuration,None,"Get-VMHost -Name $ESXi | Get-VirtualPortGroup -Standard | select Name,VlanID","Get-VMHost -Name $ESXi | Get-VirtualPortGroup -Standard -Name $PG| Set-VirtualPortGroup -VlanID ""<new VLAN>""",TRUE,FALSE,ESXI-80-000220,Not VLAN 4095,NO,N/A,N/A,N/A,TRUE,,,,,,,
esxi-8.secureboot,VMware vSphere,8,VMware ESXi,8.0.3,Base,P0,The ESXi host must enable Secure Boot.,"Secure Boot is part of the UEFI firmware standard. With UEFI Secure Boot enabled, a host refuses to load any UEFI driver or app unless the operating system bootloader has a valid digital signature. Secure Boot for ESXi requires support from the firmware and it requires that all ESXi kernel modules, drivers, and VIBs be signed by VMware or a partner subordinate. Secure Boot is enabled in the BIOS of the ESXi physical server and supported by the hypervisor boot loader.",N/A,False,True,NO,Modify,ESXi Shell,"Use of UEFI Secure Boot will interfere with %firstboot stanzas in automated ESXi installations, as that script is not properly signed. Workarounds include moving the configuration to external post-install scripts, or enabling Secure Boot after the installation is complete (which can often be automated on server platforms using out-of-band management controller APIs).","(Get-VMHost -Name $ESXi | Get-View).Capability.UefiSecureBoot

This check is available beginning with PowerCLI 13.3.",N/A (Enable in hardware firmware settings),TRUE,FALSE,ESXI-80-000094,TRUE,NO,5.2.3,N/A,N/A,TRUE,,,,,,,
esxi-8.secureboot-enforcement,VMware vSphere,8,VMware ESXi,8.0.3,Base,P0,The ESXi host must enable TPM-based Secure Boot enforcement.,"The TPM-based nature of VMware ESXi Secure Boot Enforcement enhances security beyond standard Secure Boot. It uses a hardware TPM chip to store and verify cryptographic measurements of the entire boot process, from UEFI firmware to the ESXi kernel. This creates a hardware-backed root of trust, making it much harder for attackers to tamper with the boot sequence undetected. Unlike normal Secure Boot, which only checks digital signatures, TPM-based enforcement ensures the integrity of the complete boot chain and enables advanced features like remote attestation for verifying host trustworthiness. This control flips ESXi from merely supporting Secure Boot to requiring it. Without this setting enabled, and configuration encryption, an ESXi host could be subject to offline attacks. An attacker could simply transfer the ESXi install drive to a non-Secure Boot host and boot it up without ESXi complaining.",N/A,False,True,NO,Modify,ESXi Shell,Use of UEFI Secure Boot and TPM-enforced Configuration Encryption render traditional root password recovery efforts unusable. Ensure that you do not lose access to administrator accounts on ESXi.,"$ESXcli = Get-EsxCli -VMHost $ESXi -V2
$ESXcli.system.settings.encryption.get.Invoke() | Select RequireSecureBoot","$ESXcli = Get-EsxCli -VMHost $ESXi -V2
$arguments = $ESXcli.system.settings.encryption.set.CreateArgs()
$arguments.requiresecureboot = $true
$ESXcli.system.settings.encryption.set.Invoke($arguments)",TRUE,TRUE,ESXI-80-000085,TRUE,NO,5.2.3,N/A,N/A,TRUE,,,,,,,
esxi-8.shell-interactive-timeout,VMware vSphere,8,VMware ESXi,8.0.3,Base,P0,Configure the inactivity timeout to automatically terminate idle ESXi host shells.,"If a user forgets to log out of their SSH session, the idle connection will remain open indefinitely, increasing the potential for someone to gain privileged access to the host.",UserVars.ESXiShellInteractiveTimeOut,0,900,NO,Modify,"ESXi Advanced
System Settings",None,Get-VMHost -Name $ESXi | Get-AdvancedSetting UserVars.ESXiShellInteractiveTimeOut,Get-VMHost -Name $ESXi | Get-AdvancedSetting UserVars.ESXiShellInteractiveTimeOut | Set-AdvancedSetting -Value 900,TRUE,TRUE,ESXI-80-000068,900,NO,8.2.8,15 minutes,NO,TRUE,,,,,,,
esxi-8.shell-timeout,VMware vSphere,8,VMware ESXi,8.0.3,Base,P0,Set a timeout to limit how long the ESXi Shell and SSH services are allowed to run.,The ESXiShellTimeOut defines a window of time after which the ESXi Shell and SSH services will automatically be terminated.,UserVars.ESXiShellTimeOut,0,600,NO,Modify,"ESXi Advanced
System Settings",None,Get-VMHost -Name $ESXi | Get-AdvancedSetting UserVars.ESXiShellTimeOut,Get-VMHost -Name $ESXi | Get-AdvancedSetting UserVars.ESXiShellTimeOut | Set-AdvancedSetting -Value 600,TRUE,TRUE,ESXI-80-000195,600,NO,8.2.8,15 minutes,NO,TRUE,,,,,,,
esxi-8.shell-warning,VMware vSphere,8,VMware ESXi,8.0.3,Base,P2,The ESXi host must not suppress warnings that the ESXi shell is enabled.,"Warnings indicating that SSH or the ESXi Shell is enabled can be clues that an attack is in progress. It is important to ensure that SSH and the ESXi Shell are deactivated, and that this variable is not set.",UserVars.SuppressShellWarning,0,0,YES,Audit,"ESXi Advanced
System Settings",None,Get-VMHost -Name $ESXi | Get-AdvancedSetting UserVars.SuppressShellWarning,Get-VMHost -Name $ESXi | Get-AdvancedSetting UserVars.SuppressShellWarning | Set-AdvancedSetting -Value 0,TRUE,TRUE,ESXI-80-000222,0,NO,N/A,N/A,N/A,TRUE,,,,,,,
esxi-8.ssh-fips,VMware vSphere,8,VMware ESXi,8.0.3,SSH,"P2
Upon Feature Enablement",The ESXi host SSH daemon must use FIPS 140-2/140-3 validated cryptographic modules.,"OpenSSH on the ESXi host ships with a FIPS 140-2/140-3 validated cryptographic module, and it is enabled by default. For backward compatibility reasons, this can be deactivated. Therefore, this setting must be audited and corrected if necessary.",N/A,TRUE,TRUE,YES,Audit,ESXi Shell,None,"$ESXcli = Get-EsxCli -VMHost $ESXi -V2
$ESXcli.system.security.fips140.ssh.get.Invoke()","$ESXcli = Get-EsxCli -VMHost $ESXi -V2
$arguments = $ESXcli.system.security.fips140.ssh.set.CreateArgs()
$arguments.enable = $true
$ESXcli.system.security.fips140.ssh.set.Invoke($arguments)",TRUE,TRUE,ESXI-80-000014,TRUE,NO,"2.2.7
8.3.2",N/A,N/A,TRUE,,,,,,,
esxi-8.ssh-fips-ciphers,VMware vSphere,8,VMware ESXi,8.0.3,SSH,"P2
Upon Feature Enablement",The ESXi host Secure Shell (SSH) daemon must be configured to only use FIPS 140-2/140-3 validated ciphers.,System services must be hardened and secured when enabled.,N/A,"aes256-gcm@openssh.com,aes128-gcm@openssh.com,aes256-ctr,aes192-ctr,aes128-ctr","aes256-gcm@openssh.com,aes128-gcm@openssh.com,aes256-ctr,aes192-ctr,aes128-ctr",YES,Audit,esxcli,None,"$ESXcli = Get-EsxCli -VMHost $ESXi -V2
$ESXcli.system.ssh.server.config.list.invoke() | Where-Object {$_.Key -eq 'ciphers'} | Select-Object -ExpandProperty Value","$ESXcli = Get-EsxCli -VMHost $ESXi -V2
$arguments = $ESXcli.system.ssh.server.config.set.CreateArgs()
$arguments.keyword = 'ciphers'
$arguments.value = 'aes256-gcm@openssh.com,aes128-gcm@openssh.com,aes256-ctr,aes192-ctr,aes128-ctr'
$ESXcli.system.ssh.server.config.set.Invoke($arguments)",TRUE,TRUE,ESXI-80-000187,"aes256-gcm@openssh.com,aes128-gcm@openssh.com,aes256-ctr,aes192-ctr,aes128-ctr",NO,"2.2.7
8.3.2",N/A,N/A,TRUE,,,,,,,
esxi-8.ssh-gateway-ports,VMware vSphere,8,VMware ESXi,8.0.3,SSH,"P2
Upon Feature Enablement",The ESXi host Secure Shell (SSH) daemon must be configured to not allow gateway ports.,System services must be hardened and secured when enabled.,N/A,no,no,YES,Audit,esxcli,None,"$ESXcli = Get-EsxCli -VMHost $ESXi -V2
$ESXcli.system.ssh.server.config.list.invoke() | Where-Object {$_.Key -eq 'gatewayports'} | Select-Object -ExpandProperty Value","$ESXcli = Get-EsxCli -VMHost $ESXi -V2
$arguments = $ESXcli.system.ssh.server.config.set.CreateArgs()
$arguments.keyword = 'gatewayports'
$arguments.value = 'no'
$ESXcli.system.ssh.server.config.set.Invoke($arguments)",TRUE,TRUE,ESXI-80-000207,no,NO,N/A,N/A,N/A,TRUE,,,,,,,
esxi-8.ssh-host-based-auth,VMware vSphere,8,VMware ESXi,8.0.3,SSH,"P2
Upon Feature Enablement",The ESXi host Secure Shell (SSH) daemon must not allow host-based authentication.,System services must be hardened and secured when enabled.,N/A,no,no,YES,Audit,esxcli,None,"$ESXcli = Get-EsxCli -VMHost $ESXi -V2
$ESXcli.system.ssh.server.config.list.invoke() | Where-Object {$_.Key -eq 'hostbasedauthentication'} | Select-Object -ExpandProperty Value","$ESXcli = Get-EsxCli -VMHost $ESXi -V2
$arguments = $ESXcli.system.ssh.server.config.set.CreateArgs()
$arguments.keyword = 'hostbasedauthentication'
$arguments.value = 'no'
$ESXcli.system.ssh.server.config.set.Invoke($arguments)",TRUE,TRUE,ESXI-80-000202,no,NO,N/A,N/A,N/A,TRUE,,,,,,,
esxi-8.ssh-idle-timeout-count,VMware vSphere,8,VMware ESXi,8.0.3,SSH,"P2
Upon Feature Enablement",The ESXi host Secure Shell (SSH) daemon must set a timeout count on idle sessions.,"System services must be hardened and secured when enabled. The timeout count, multiplied by the idle timeout interval, is the total number of seconds the session may be idle until it is disconnected.",N/A,3,3,YES,Audit,esxcli,None,"$ESXcli = Get-EsxCli -VMHost $ESXi -V2
$ESXcli.system.ssh.server.config.list.invoke() | Where-Object {$_.Key -eq 'clientalivecountmax'} | Select-Object -ExpandProperty Value","$ESXcli = Get-EsxCli -VMHost $ESXi -V2
$arguments = $ESXcli.system.ssh.server.config.set.CreateArgs()
$arguments.keyword = 'clientalivecountmax'
$arguments.value = '3'
$ESXcli.system.ssh.server.config.set.Invoke($arguments)",TRUE,TRUE,ESXI-80-000210,3,NO,8.2.8,15 minutes,NO,TRUE,,,,,,,
esxi-8.ssh-idle-timeout-interval,VMware vSphere,8,VMware ESXi,8.0.3,SSH,"P2
Upon Feature Enablement",The ESXi host Secure Shell (SSH) daemon must set a timeout interval on idle sessions.,"System services must be hardened and secured when enabled. The timeout count, multiplied by the idle timeout interval, is the total number of seconds the session may be idle until it is disconnected.",N/A,200,200,YES,Audit,esxcli,None,"$ESXcli = Get-EsxCli -VMHost $ESXi -V2
$ESXcli.system.ssh.server.config.list.invoke() | Where-Object {$_.Key -eq 'clientaliveinterval'} | Select-Object -ExpandProperty Value","$ESXcli = Get-EsxCli -VMHost $ESXi -V2
$arguments = $ESXcli.system.ssh.server.config.set.CreateArgs()
$arguments.keyword = 'clientaliveinterval'
$arguments.value = '200'
$ESXcli.system.ssh.server.config.set.Invoke($arguments)",TRUE,TRUE,ESXI-80-000211,200,NO,8.2.8,15 minutes,NO,TRUE,,,,,,,
esxi-8.ssh-login-banner,VMware vSphere,8,VMware ESXi,8.0.3,SSH,"P2
Upon Feature Enablement",The ESXi host Secure Shell (SSH) daemon must display the system login banner before granting access to the system.,"System services must be hardened and secured when enabled. You must set the host's Config.Etc.Issue advanced parameter as well, to provide text to this banner.",N/A,/etc/issue,/etc/issue,YES,Audit,esxcli,None,"$ESXcli = Get-EsxCli -VMHost $ESXi -V2
$ESXcli.system.ssh.server.config.list.invoke() | Where-Object {$_.Key -eq 'banner'} | Select-Object -ExpandProperty Value","$ESXcli = Get-EsxCli -VMHost $ESXi -V2
$arguments = $ESXcli.system.ssh.server.config.set.CreateArgs()
$arguments.keyword = 'banner'
$arguments.value = '/etc/issue'
$ESXcli.system.ssh.server.config.set.Invoke($arguments)",TRUE,TRUE,ESXI-80-000192,/etc/issue,NO,N/A,N/A,N/A,TRUE,,,,,,,
esxi-8.ssh-rhosts,VMware vSphere,8,VMware ESXi,8.0.3,SSH,"P2
Upon Feature Enablement",The ESXi host Secure Shell (SSH) daemon must ignore .rhosts files.,System services must be hardened and secured when enabled.,N/A,yes,yes,YES,Audit,esxcli,None,"$ESXcli = Get-EsxCli -VMHost $ESXi -V2
$ESXcli.system.ssh.server.config.list.invoke() | Where-Object {$_.Key -eq 'ignorerhosts'} | Select-Object -ExpandProperty Value","$ESXcli = Get-EsxCli -VMHost $ESXi -V2
$arguments = $ESXcli.system.ssh.server.config.set.CreateArgs()
$arguments.keyword = 'ignorerhosts'
$arguments.value = 'yes'
$ESXcli.system.ssh.server.config.set.Invoke($arguments)",TRUE,TRUE,ESXI-80-000052,yes,NO,N/A,N/A,N/A,TRUE,,,,,,,
esxi-8.ssh-stream-local-forwarding,VMware vSphere,8,VMware ESXi,8.0.3,SSH,"P2
Upon Feature Enablement",The ESXi host Secure Shell (SSH) daemon must disable stream local forwarding.,System services must be hardened and secured when enabled.,N/A,no,no,YES,Audit,esxcli,None,"$ESXcli = Get-EsxCli -VMHost $ESXi -V2
$ESXcli.system.ssh.server.config.list.invoke() | Where-Object {$_.Key -eq 'allowstreamlocalforwarding'} | Select-Object -ExpandProperty Value","$ESXcli = Get-EsxCli -VMHost $ESXi -V2
$arguments = $ESXcli.system.ssh.server.config.set.CreateArgs()
$arguments.keyword = 'allowstreamlocalforwarding'
$arguments.value = 'no'
$ESXcli.system.ssh.server.config.set.Invoke($arguments)",TRUE,TRUE,N/A,N/A,N/A,N/A,N/A,N/A,TRUE,,,,,,,
esxi-8.ssh-tcp-forwarding,VMware vSphere,8,VMware ESXi,8.0.3,SSH,"P2
Upon Feature Enablement",The ESXi host Secure Shell (SSH) daemon must disable TCP forwarding.,System services must be hardened and secured when enabled.,N/A,no,no,YES,Audit,esxcli,None,"$ESXcli = Get-EsxCli -VMHost $ESXi -V2
$ESXcli.system.ssh.server.config.list.invoke() | Where-Object {$_.Key -eq 'allowtcpforwarding'} | Select-Object -ExpandProperty Value","$ESXcli = Get-EsxCli -VMHost $ESXi -V2
$arguments = $ESXcli.system.ssh.server.config.set.CreateArgs()
$arguments.keyword = 'allowtcpforwarding'
$arguments.value = 'no'
$ESXcli.system.ssh.server.config.set.Invoke($arguments)",TRUE,TRUE,ESXI-80-000230,no,NO,N/A,N/A,N/A,TRUE,,,,,,,
esxi-8.ssh-tunnels,VMware vSphere,8,VMware ESXi,8.0.3,SSH,"P2
Upon Feature Enablement",The ESXi host Secure Shell (SSH) daemon must not permit tunnels.,System services must be hardened and secured when enabled.,N/A,no,no,YES,Audit,esxcli,None,"$ESXcli = Get-EsxCli -VMHost $ESXi -V2
$ESXcli.system.ssh.server.config.list.invoke() | Where-Object {$_.Key -eq 'permittunnel'} | Select-Object -ExpandProperty Value","$ESXcli = Get-EsxCli -VMHost $ESXi -V2
$arguments = $ESXcli.system.ssh.server.config.set.CreateArgs()
$arguments.keyword = 'permittunnel'
$arguments.value = 'no'
$ESXcli.system.ssh.server.config.set.Invoke($arguments)",TRUE,TRUE,ESXI-80-000209,no,NO,N/A,N/A,N/A,TRUE,,,,,,,
esxi-8.ssh-user-environment,VMware vSphere,8,VMware ESXi,8.0.3,SSH,"P2
Upon Feature Enablement",The ESXi host Secure Shell (SSH) daemon must not permit user environment settings.,System services must be hardened and secured when enabled.,N/A,no,no,YES,Audit,esxcli,None,"$ESXcli = Get-EsxCli -VMHost $ESXi -V2
$ESXcli.system.ssh.server.config.list.invoke() | Where-Object {$_.Key -eq 'permituserenvironment'} | Select-Object -ExpandProperty Value","$ESXcli = Get-EsxCli -VMHost $ESXi -V2
$arguments = $ESXcli.system.ssh.server.config.set.CreateArgs()
$arguments.keyword = 'permituserenvironment'
$arguments.value = 'no'
$ESXcli.system.ssh.server.config.set.Invoke($arguments)",TRUE,TRUE,ESXI-80-000204,no,NO,N/A,N/A,N/A,TRUE,,,,,,,
esxi-8.supported,VMware vSphere,8,VMware ESXi,8.0.3,Base,P0,ESXi host is running software that has not reached End of General Support status.,Ensure that ESXi is a version that has not reached the End of General Support status.,N/A,N/A,N/A,YES,Audit,Compare ESXi build numbers to latest available version on customerconnect.vmware.com,"Always read release notes, test, and deploy using staged rollouts.","Get-VMHost -Name $ESXi | Select-Object Name,Version,Build",N/A,FALSE,FALSE,ESXI-80-000221,N/A,NO,6.3.3,N/A,N/A,TRUE,,,,,,,
esxi-8.timekeeping-services,VMware vSphere,8,VMware ESXi,8.0.3,Base,P0,ESXi host must have time synchronization services enabled and running.,"Cryptography, audit logging, cluster operations, and incident response/forensics heavily rely on synchronized time. To ensure this, NTP and/or PTP services must be set to start with the host and must be running.",N/A,"Stopped,
Start and stop manually","Running,
Start and stop with host",NO,Modify,ESXi Services Configuration,None,"Get-VMHostService -VMHost $ESXi | Where-Object{$_.Key -eq ""ntpd""}","Get-VMHostService -VMHost $ESXi -ErrorAction:Stop | Where-Object{$_.Key -eq ""ntpd""} | Set-VMHostService -policy ""on"" -Confirm:$false
Get-VMHostService -VMHost $ESXi -ErrorAction:Stop | Where-Object{$_.Key -eq ""ntpd""} | Restart-VMHostService -Confirm:$false",TRUE,TRUE,ESXI-80-000124,"Running,
Start and stop with host",NO,10.6.1,N/A,N/A,TRUE,,,,,,,
esxi-8.timekeeping-sources,VMware vSphere,8,VMware ESXi,8.0.3,Base,P0,ESXi host must have reliable time synchronization sources.,"Cryptography, audit logging, cluster operations, and incident response/forensics heavily rely on synchronized time. The recommended practice for NTP is to have at least four sources. It is not advisable to have only two sources, as having one source is preferable to having two.

Precision Time Protocol (PTP) is an alternative to NTP that offers sub-millisecond time accuracy. PTP has a different architecture compared to NTP and may not provide the same level of resilience in case of primary server failure. It is suggested to configure NTP as a backup source for PTP, ensuring that a time source remains available even if the accuracy is reduced.",N/A,Undefined,"Site-Specific or:
0.vmware.pool.ntp.org,
1.vmware.pool.ntp.org,
2.vmware.pool.ntp.org,
3.vmware.pool.ntp.org",NO,Modify,ESXi Time Configuration,None,Get-VMHostNtpServer -VMHost $ESXi,"$ntp0 = ""0.vmware.pool.ntp.org""
$ntp1 = ""1.vmware.pool.ntp.org""
$ntp2 = ""2.vmware.pool.ntp.org""
$ntp3 = ""3.vmware.pool.ntp.org""

Add-VMHostNTPServer -NtpServer $ntp0 , $ntp1 , $ntp2 , $ntp3 -VMHost $ESXi -Confirm:$false",TRUE,TRUE,ESXI-80-000124,"Site-Specific or:
0.vmware.pool.ntp.org,
1.vmware.pool.ntp.org,
2.vmware.pool.ntp.org,
3.vmware.pool.ntp.org",NO,"10.6.1
10.6.2",N/A,N/A,TRUE,,,,,,,
esxi-8.tls-profile,VMware vSphere,8,VMware ESXi,8.0.3,Base,P0,The ESXi host must maintain confidentiality and integrity of transmissions by enabling modern TLS ciphers.,"In ESXi 8.0.3 and newer, TLS profiles are available to configure client and server TLS settings to use only strong ciphers.

You can view the entire cipher list and suites using:

$ESXcli = Get-EsxCli -VMHost $ESXi -V2
$arguments = $ESXcli.system.tls.server.get.CreateArgs()
$arguments.showprofiledefaults = $true
$arguments.showcurrentbootprofile = $true
$ESXcli.system.tls.server.get.invoke($arguments)

The host will require a reboot after setting this parameter (and will display in the vSphere Client with the suffix of ""(Reboot Required).""",N/A,COMPATIBLE,NIST_2024,NO,Modify,esxcli,Changes to cipher suites impact connectivity with external systems. The host will need to be rebooted for this change to take effect.,"$ESXcli = Get-EsxCli -VMHost $ESXi -V2
$ESXcli.system.tls.server.get.invoke() | Select-Object -ExpandProperty Profile","$ESXcli = Get-EsxCli -VMHost $ESXi -V2
$arguments = $ESXcli.system.tls.server.set.CreateArgs()
$arguments.profile = ""NIST_2024""
$ESXcli.system.tls.server.set.invoke($arguments)",TRUE,TRUE,ESXI-80-000247,NIST_2024,NO,"2.2.7
4.2.1
8.3.2",N/A,N/A,TRUE,,,,,,,
esxi-8.tls-protocols,VMware vSphere,8,VMware ESXi,8.0.3,Base,P2,The ESXi host must enable the highest version of TLS supported.,"ESXi 8 ships with TLS 1.2 enabled by default, but it is possible to re-enable other protocols if necessary.",UserVars.ESXiVPsDisabledProtocols,"""sslv3,tlsv1,tlsv1.1""","""sslv3,tlsv1,tlsv1.1""",YES,Audit,"ESXi Advanced
System Settings",None,Get-VMHost -Name $ESXi | Get-AdvancedSetting UserVars.ESXiVPsDisabledProtocols,"Get-VMHost -Name $ESXi | Get-AdvancedSetting UserVars.ESXiVPsDisabledProtocols | Set-AdvancedSetting -Value ""sslv3,tlsv1,tlsv1.1""",TRUE,TRUE,ESXI-80-000161,"sslv3,tlsv1,tlsv1.1",NO,"2.2.7
4.2.1
8.3.2",N/A,N/A,TRUE,,,,,,,
esxi-8.tpm-configuration,VMware vSphere,8,VMware ESXi,8.0.3,TPM,"P2
Upon Feature Enablement",The ESXi host must require TPM-based configuration encryption.,"An ESXi host's configuration consists of configuration files for each service that runs on the host. The configuration files typically reside in the /etc/ directory, but they can also reside in other namespaces. The configuration files contain run-time information about the state of the services. Over time, the default values in the configuration files might change, for example, when settings on the ESXi host are changed.

A cron job backs up the ESXi configuration files periodically, when ESXi shuts down gracefully or on demand, and creates an archived configuration file in the boot bank. When ESXi reboots, it reads the archived configuration file and recreates the state that ESXi was in when the backup was taken.

Before vSphere 7.0 Update 2, the archived ESXi configuration file is not encrypted. In vSphere 7.0 Update 2 and later, the archived configuration file is encrypted. When the ESXi host is configured with a Trusted Platform Module (TPM), the TPM is used to ""seal"" the configuration to the host, providing a strong security guarantee and additional protection from offline attacks.

Configuration encryption uses the physical TPM when it is available and supported at install or upgrade time. If the TPM was added or enabled later, the ESXi host must be told to reconfigure to use the newly available TPM. Once the TPM configuration encryption is enabled, it cannot be deactivated.",N/A,Site-Specific,TPM,YES,Audit,ESXi Shell,Use of Secure Boot and TPM-enforced Configuration Encryption render traditional root password recovery efforts unusable. Ensure that you do not lose access to administrator accounts on ESXi.,"$ESXcli = Get-EsxCli -VMHost $ESXi -V2
$ESXcli.system.settings.encryption.get.Invoke() | Select Mode","$ESXcli = Get-EsxCli -VMHost $ESXi -V2
$arguments = $ESXcli.system.settings.encryption.set.CreateArgs()
$arguments.mode = ""TPM""
$ESXcli.system.settings.encryption.set.Invoke($arguments)",TRUE,TRUE,ESXI-80-000238,TPM,NO,5.2.3,N/A,N/A,TRUE,,,,,,,
esxi-8.transparent-page-sharing,VMware vSphere,8,VMware ESXi,8.0.3,Base,P2,The ESXi host must restrict inter-VM transparent page sharing to VMs configured with sched.mem.pshare.salt.,"Transparent Page Sharing (TPS) is a method used to reduce the memory usage of virtual machines. However, under specific conditions, it can potentially be exploited to gain unauthorized access to data on neighboring virtual machines.

Virtual machines that do not have the sched.mem.pshare.salt option set are unable to share memory with any other virtual machines, providing an additional layer of isolation and security.",Mem.ShareForceSalting,2,2,YES,Audit,"ESXi Advanced
System Settings",None,Get-VMHost -Name $ESXi | Get-AdvancedSetting Mem.ShareForceSalting,Get-VMHost -Name $ESXi | Get-AdvancedSetting Mem.ShareForceSalting | Set-AdvancedSetting -Value 2,TRUE,TRUE,ESXI-80-000213,2,NO,N/A,N/A,N/A,TRUE,,,,,,,
esxi-8.updates,VMware vSphere,8,VMware ESXi,8.0.3,Base,P0,ESXi host has all software updates installed.,"By keeping ESXi patches up to date, vulnerabilities in the hypervisor can be mitigated. It is important to note that educated attackers can exploit known vulnerabilities when attempting to gain unauthorized access or elevate privileges on an ESXi host.

When applying updates, it is recommended to update vCenter Server first, if an update is available, and then proceed with updating ESXi. This sequence ensures that the management layer is updated before updating the ESXi hosts.",N/A,Downlevel,Current,NO,Modify,Compare ESXi build numbers to latest available version on customerconnect.vmware.com,vSphere Update releases add and change functionality; Patch releases only resolve issues.,"Get-VMHost -Name $ESXi | Select-Object Name,Version,Build",N/A,FALSE,FALSE,ESXI-80-000221,Current,NO,6.3.3,N/A,N/A,TRUE,,,,,,,
esxi-8.vib-acceptance-level-supported,VMware vSphere,8,VMware ESXi,8.0.3,Base,P2,The ESXi host image profile acceptance level must be PartnerSupported or higher.,"The acceptance level in ESXi controls what can be installed on the system. There are four levels: VMwareCertified, VMwareAccepted, PartnerSupported, and CommunitySupported.

It is important to note that CommunitySupported VIBs (vSphere Installation Bundles) have not undergone testing by VMware or a VMware partner, and they do not have a digital signature. It is considered risky to install CommunitySupported VIBs as their reliability and security cannot be guaranteed.",N/A,PartnerSupported,PartnerSupported or Higher,YES,Audit,ESXi Security Profile,CommunitySupported packages are unsigned and will not be able to be installed.,(Get-EsxCli -VMHost $ESXi -V2).software.acceptance.get.Invoke(),"$ESXcli = Get-EsxCli -VMHost $ESXi -V2
$arguments = $ESXcli.software.acceptance.set.CreateArgs()
$arguments.level = ""PartnerSupported"" # VMwareCertified, VMwareAccepted, PartnerSupported, CommunitySupported
$ESXcli.software.acceptance.set.Invoke($arguments)",TRUE,TRUE,ESXI-80-000133,PartnerSupported or Higher,NO,5.2.3,N/A,N/A,TRUE,,,,,,,
esxi-8.vib-trusted-binaries,VMware vSphere,8,VMware ESXi,8.0.3,Base,P0,Only run binaries delivered via signed VIB.,"ESXi conducts integrity checks of ""vSphere Installable Bundles"" or VIBs, governed by the Acceptance Level (see below). Instructing ESXi to only execute binaries that originated from a valid VIB installed on the host makes it harder for attackers to use prebuilt toolkits.",VMkernel.Boot.execInstalledOnly,False,True,NO,Modify,"ESXi Advanced
System Settings",Third-party unsigned software may not install or execute.,Get-VMHost -Name $ESXi | Get-AdvancedSetting VMkernel.Boot.execInstalledOnly,Get-VMHost -Name $ESXi | Get-AdvancedSetting VMkernel.Boot.execInstalledOnly | Set-AdvancedSetting -Value True,TRUE,TRUE,ESXI-80-000244,True,NO,5.2.3,N/A,N/A,TRUE,,,,,,,
esxi-8.vmk-management,VMware vSphere,8,VMware ESXi,8.0.3,Base,P2,The ESXi host must isolate management communications.,"VMkernel network interfaces that are intended for specialized use can be configured with management capabilities, which may defeat network isolation and security efforts. Ensure that only vmk interfaces intended for management have management services enabled.",N/A,Site-Specific,Site-Specific,YES,Audit,ESXi VMkernel Adapters,Some third-party managed solutions may require this.,"Get-VMHostNetworkAdapter -VMHost $ESXi -VMKernel | Select VMHost,Name,IP,ManagementTrafficEnabled",Get-VMHostNetworkAdapter -VMHost $ESXi -Name $vmkernel_interface | Set-VMHostNetworkAdapter -ManagementTrafficEnabled $false,TRUE,FALSE,ESXI-80-000198,Site-Specific,NO,N/A,N/A,N/A,TRUE,,,,,,,
guest-8.secure-boot,VMware vSphere,8,VMware ESXi,8.0.3,Virtual Machine,P0,The guest OS must enable Secure Boot.,"Secure Boot, supported by all modern guest OSes, uses public key cryptography to validate firmware, boot loader, drivers, and OS kernel. By preventing system booting with uncertain boot chain validity, it effectively restricts malware.",N/A,Site-Specific,TRUE,NO,Modify,VM Settings,Enabling this after guest OS install may involve more process than just checking the box. Refer to your guest OS documentation for instructions.,(Get-VM -Name $VM).ExtensionData.Config.BootOptions.EfiSecureBootEnabled ,"$VMobj = (Get-VM -Name $VM)
$ConfigSpec = New-Object VMware.Vim.VirtualMachineConfigSpec
$bootOptions = New-Object VMware.Vim.VirtualMachineBootOptions
$bootOptions.EfiSecureBootEnabled = $true
$ConfigSpec.BootOptions = $bootOptions
$task = $VMobj.ExtensionData.ReconfigVM_Task($ConfigSpec)",TRUE,FALSE,N/A,N/A,N/A,5.2.3,N/A,N/A,TRUE,,,,,,,
