Control ID,SCF ID,Description,Control Coverage,Response,,,,,,,,,,,,,,,,,,,,,
164.310(a)(2)(iv),"GOV-02, MNT-01, MNT-02, PES-01","Implementation specifications: 
Maintenance records (Addressable). Implement policies and procedures to document repairs and modifications to the physical components of a facility which are related to security (for example, hardware, walls, doors, and locks).",Contributes,"VMware Cloud Foundation (VCF) provides integrated lifecycle management capabilities for conducting controlled maintenance across the infrastructure stack. The VCF Operations UI centralizes update and patch deployment for all VCF components, and ESX hosts support a formal maintenance mode with dedicated API methods, allowing hosts to be taken offline for servicing in a controlled manner. VCF Operations provides maintenance scheduling capabilities, enabling administrators to define recurring maintenance windows and automate transitions into maintenance mode, suppressing misleading alerts during these periods. NSX appliance maintenance tasks, including license management, certificate rotation, password changes, and backups, are documented and can be planned as part of regular maintenance cycles, with VCF Operations supporting automation of these jobs.

VMware vDefend components include maintenance and lifecycle management capabilities that support controlled maintenance activities for the security infrastructure within VCF. The Security Services Platform (SSP), the management plane for vDefend, provides deployment lifecycle controls that allow maintenance operations to be halted, resumed, or cleaned up, enabling controlled, incremental maintenance. SSP enforces prerequisite checks, requiring a healthy state before backup and restore operations.

For monitoring, SSP provides inventory status visibility across environments, regions, and zones, identifying success, timeout, or out-of-sync conditions, and displays granular details of refresh operations for Bare Metal servers, NDR Sensors, and Service VMs. Security Intelligence reports its own health status, and SSP Config Sync provides a time-series metric for configuration updates, creating an audit trail of configuration changes that may result from maintenance activities. The Bare Metal Orchestrator (BMO) maintains and synchronizes agent packages, and the ""get bms health"" CLI command provides a verification mechanism for service health before and after maintenance. SSP also documents sequencing constraints to prevent conflicting maintenance activities.

While VCF and vDefend provide robust technical mechanisms for managing, tracking, and auditing maintenance and modifications to the underlying physical IT hardware and virtual security components, the control's scope extends to physical facility components such as walls, doors, and locks. The customer is responsible for implementing comprehensive policies and procedures to document repairs and modifications for these broader physical security elements, as well as for defining the overall organizational processes for maintenance record-keeping across all relevant physical assets.",,,,,,,,,,,,,,,,,,,,,
164.310(b),"GOV-02, END-01, HRS-05, HRS-05.1, HRS-05.3, PES-03.4, PES-04, OPS-01.1, OPS-03","Standard: Workstation use. Implement policies and procedures that specify the proper functions to be performed, the manner in which those functions are to be performed, and the physical attributes of the surroundings of a specific workstation or class of workstation that can access electronic protected health information.",Not Applicable,"The platform provides a robust, secure, and compliant foundation for virtualized infrastructure, including the potential hosting of virtual desktop infrastructure (VDI) that could serve as workstations. This includes capabilities for secure hypervisor operations, network micro-segmentation, and infrastructure-level access controls and logging.

However, the control mandates the implementation of organizational policies and procedures that specify proper functions, the manner of performance, and the physical attributes of the surroundings for workstations accessing electronic protected health information. These are governance, operational, and physical security responsibilities of the customer. The platform does not define, implement, or enforce customer-specific policies regarding end-user workstation functions, user behavior, or the physical security of the end-user's workstation environment.",,,,,,,,,,,,,,,,,,,,,
164.310(c),"END-02, PES-03, PES-03.4, PES-04, PES-04.1","Standard: Workstation security. Implement physical safeguards for all workstations that access electronic protected health information, to restrict access to authorized users.",Not Applicable,"VMware Cloud Foundation establishes a secure foundation for virtualized workloads, encompassing hardware trust through Secure Boot and Trusted Platform Modules for ESX hosts, hypervisor integrity, and robust workload isolation. It ensures data integrity and availability within the virtualized storage layer via vSAN's checksums and erasure coding, and maintains configuration compliance through vSphere Configuration Profiles and Lifecycle Manager. VMware vDefend extends this protection by securing the network layer, implementing distributed firewalls for microsegmentation, intrusion detection and prevention, and advanced malware prevention for virtualized workloads and their network communications. These capabilities collectively safeguard the confidentiality, integrity, and availability of electronic protected health information within the virtual environment and during network transit.

The control, however, specifically requires the implementation of physical safeguards for workstations that access electronic protected health information. This pertains to the physical security of end-user client devices, such as physical access controls, environmental protection, and device hardening at the physical layer. VMware Cloud Foundation and VMware vDefend do not provide capabilities for securing the physical attributes of end-user workstations.",,,,,,,,,,,,,,,,,,,,,
164.310(d)(1),"GOV-02, AST-01, AST-11, DCH-01, DCH-03, DCH-07, DCH-07.1, DCH-13.2, MNT-01, MNT-04.3","Standard: Device and media controls. Implement policies and procedures that govern the receipt and removal of hardware and electronic media that contain electronic protected health information into and out of a facility, and the movement of these items within the facility.

",Contributes,"VMware Cloud Foundation (VCF) provides a robust technical foundation for managing and securing hardware and electronic media containing electronic protected health information. VCF Operations offers built-in inventory and discovery capabilities, providing detailed lists of compute, storage, and networking resources. It automatically discovers applications and services, and integrates with external asset tracking systems like ServiceNow CMDB to populate discovered resources, thereby supporting IT asset management programs.

VCF Automation further enhances governance through projects, policies, and tags that control provisioned resources.

The platform implements multiple layers of data protection, including vSAN data-at-rest encryption and VM Encryption, which render data unreadable if storage devices are physically removed. Data in transit is protected by TLS, encrypted vSphere vMotion, and vSAN data-in-transit encryption. VCF also includes secure disk wipe capabilities, aligned with NIST 800-88, for sanitizing storage devices prior to physical removal.

Role-based access controls (RBAC) across all VCF components, including VCF SSO, restrict access to digital resources and management interfaces, while privilege-based and scope-based access controls within VCF Operations limit visibility to specific objects and data.

VMware Live Site Recovery protects replicated data during transport between sites through encryption and network isolation, and restricts access to recovery operations via RBAC.

VMware vDefend enhances security by enforcing microsegmentation policies at the vNIC level, restricting network access to systems and storage resources that host digital data, and identifying risky application protocols that transport data in clear text.

VCF also contributes to preventing unauthorized removal of equipment through virtual device controls that restrict hot-add/remove operations on virtual machines, and lifecycle management workflows for host decommissioning.

While VCF provides extensive technical controls for the security and management of electronic media and the data residing on underlying hardware, the overarching responsibility for establishing formal policies and procedures remains with the organization. This includes defining asset governance policies, ownership lifecycles, and maintaining organizational accountability. Furthermore, the platform does not directly address non-digital media handling, such as physical storage media management, printed materials, chain-of-custody tracking, approved physical transport methods, or physical access controls for hardware and equipment removal authorization processes. These aspects require organizational policies, procedures, and physical security solutions to complement the platform's capabilities.",,,,,,,,,,,,,,,,,,,,,
164.310(d)(2)(i),"GOV-02, AST-01, AST-09","Implementation specifications: 
Disposal (Required). Implement policies and procedures to address the final disposition of electronic protected health information, and/or the hardware or electronic media on which it is stored.",Contributes,"VMware Cloud Foundation contributes to secure disposal through robust cryptographic erasure and data wiping capabilities, preventing information recovery from decommissioned storage. vSAN data-at-rest encryption leverages a two-tier key architecture with Key Encryption Keys (KEK) and Data Encryption Keys (DEK), managed via an external Key Management Server (KMS) or vSphere Native Key Provider. Destroying these encryption keys renders data unrecoverable without requiring a full disk wipe. vSAN also offers an ""Erase disks before use"" option during encryption configuration to wipe existing data from storage devices. For devices added to or removed from vSAN disk groups, residual data and partition information can be cleaned before reclamation or release, with administrators able to wipe ineligible disks via the vSAN Management API. vSphere provides API methods for cryptographic key lifecycle management, including `removeKey` and `removeKeys` operations with a `force` parameter for definitive key removal from host caches. VCF also recommends securely deleting decrypted backup files after restore operations for SDDC Manager, vCenter, and NSX components. VCF Operations can disable virtual disk wiper and disk shrink operations on virtual machines through the `isolation.tools.diskWiper.disable` setting, preventing unauthorized data recovery attempts from within guest operating systems.

VCF further contributes to IT Asset Management programs through built-in inventory, discovery, and integration capabilities that provide the technical foundation for asset tracking and governance. VCF Operations groups discovered objects logically, providing detailed inventory lists across compute, storage, and networking resources. The Service Discovery adapter automatically discovers applications, services, and their associated metrics running on managed infrastructure, with discovered applications exportable in CSV format for external asset tracking systems. For organizations using ServiceNow, VCF provides integration paths via the Management Pack for ServiceNow in VCF Operations to populate the ServiceNow CMDB, and VCF Automation integrates with ServiceNow for ITSM and CMDB synchronization through extensibility action scripts and a dedicated ServiceNow ITSM Plug-in. VCF Automation adds governance through projects that link users, catalog items, and IaaS resources, along with policies that govern provisioned resources such as VMs and Kubernetes clusters, and tags support governance within VCF Automation.

Establishing comprehensive asset governance policies, defining ownership lifecycles, maintaining organizational accountability, implementing physical chain-of-custody procedures, verifying media sanitization, and tracking equipment through the entire disposal lifecycle are organizational processes and policy responsibilities that remain with the customer.",,,,,,,,,,,,,,,,,,,,,
164.310(d)(2)(ii),"AST-09, DCH-09","Implementation specifications: 
Media re-use (Required). Implement procedures for removal of electronic protected health information from electronic media before the media are made available for re-use.",Contributes,"VMware Cloud Foundation provides significant technical capabilities for the secure removal of electronic protected health information from electronic media prior to reuse. vSAN data-at-rest encryption supports cryptographic erasure, where the destruction of encryption keys renders the associated data unrecoverable without requiring a full disk wipe. vSAN also includes explicit disk wiping features, such as the ""Erase disks before use"" option during encryption configuration and the ""Wipe residual data"" feature, which securely cleans storage devices. Devices added to vSAN disk groups are automatically cleaned of residual data and partition information before they can be claimed.

vSphere APIs facilitate cryptographic key lifecycle management, including operations for definitive key removal from host caches. ESX host decommissioning can leverage TPM 2.0 to clear encrypted configuration data, rendering stored configurations unrecoverable. VCF further directs administrators to securely delete decrypted backup files after restore operations for its management components, and the No Cryptography Administrator role helps prevent unauthorized changes to encryption settings during media lifecycle activities.

While VCF offers robust technical mechanisms for data sanitization, the establishment and enforcement of comprehensive media reuse procedures, including physical chain-of-custody, media sanitization verification, equipment tracking, and dedicated media sanitization workflow tools, are organizational responsibilities. These aspects require the customer to define and implement enterprise asset management and data governance programs that extend beyond the platform's technical scope.",,,,,,,,,,,,,,,,,,,,,
164.310(d)(2)(iii),"AST-02, AST-02.1, AST-02.9, AST-03, AST-03.1","Implementation specifications: 
Accountability (Addressable). Maintain a record of the movements of hardware and electronic media and any person responsible therefore.",Contributes,"VMware Cloud Foundation (VCF) provides comprehensive asset inventory and configuration management capabilities for the virtual infrastructure and its underlying physical components. VCF maintains a detailed, real-time inventory of technology assets across compute, storage, and networking layers, with vCenter serving as the authoritative source for managed objects such as ESX hosts, clusters, virtual machines, datastores, and networking constructs. VCF Operations retrieves and logically groups these inventory details, tracking configuration items, their properties, and relationships, and capturing historical metrics to record how assets evolve. VCF Automation tracks provisioned resources, linking users to catalog items and IaaS resources, and providing role-appropriate visibility for audit and review of virtual asset provisioning. For enterprise-wide asset management, VCF integrates with external asset registries and CMDBs, such as ServiceNow, populating them with discovered resources and supporting CMDB reconciliation to maintain current configuration items. VMware vDefend further contributes by maintaining an inventory of network-visible workloads, organized into asset collections, which supports granular tracking of application-layer assets.

While VCF and vDefend provide robust inventory and configuration management for virtual and underlying physical infrastructure, the platforms do not inherently track the physical movement of hardware or portable electronic media. The recording of physical movements for hardware assets (e.g., ESX hosts, storage arrays) and physical electronic media (e.g., backup tapes, USB drives), along with the assignment of human accountability for these physical movements, remains an organizational responsibility. Enterprise asset classification, business justification tracking, property accountability processes, and CMDB governance decisions, including which assets to track, how to classify configuration items, and how to maintain data quality for physical assets, are outside the scope of VCF and vDefend.",,,,,,,,,,,,,,,,,,,,,
164.310(d)(2)(iv),BCD-11,"Implementation specifications: 
Data backup and storage (Addressable). Create a retrievable, exact copy of electronic protected health information, when needed, before movement of equipment.",Contributes,"VMware Cloud Foundation (VCF) provides comprehensive data protection capabilities across its management and workload layers, enabling the creation of retrievable, exact copies of electronic protected health information (ePHI). This includes robust snapshot, replication, and backup mechanisms designed to meet stringent Recovery Time Objectives (RTOs) and Recovery Point Objectives (RPOs). For workload-level data, vSAN Data Protection facilitates snapshots that can be replicated and stored externally with automated scheduling and retention, while vSAN Express Storage Architecture (ESA) delivers high-performance, metadata-based snapshots for point-in-time recovery. VMware vStorage APIs for Data Protection (VADP) offer a standardized interface for seamless integration with third-party backup providers, allowing for comprehensive backup of virtual machine data, including ePHI. VMware vSphere Replication maintains continuous host-based replicas of protected virtual machines at a recovery site, supporting configurable RPO intervals and the creation of multiple point-in-time snapshots. VMware Kubernetes Service (VKS) further extends these capabilities to cluster management workloads and CSI volume snapshots. On-demand manual backups and snapshots are supported across the platform, providing flexibility for specific operational requirements. VMware Live Recovery (VLR) enhances these capabilities through vSAN Data Protection protection groups, enabling scheduled management of vSAN snapshots and supporting extensive recovery point retention. VMware vDefend contributes by providing backup and restore capabilities for its own control plane, protecting critical security policies and configurations.

While the platform provides the technical mechanisms to create these exact, retrievable copies, the organization is responsible for establishing the specific policies and procedures that dictate *when* such backups are needed, particularly in the context of equipment movement. This includes defining the operational triggers, ensuring the appropriate data (ePHI) is identified for backup, and implementing the processes to initiate these backups or snapshots prior to any equipment relocation. The integrity and recoverability of the data are verified through recovery plan testing, confirming that replicated data is usable and RPO targets are met.",,,,,,,,,,,,,,,,,,,,,
164.312(a)(1),"GOV-02, HRS-02, HRS-03, IAC-01, IAC-08, IAC-21",Standard: Access control. Implement technical policies and procedures for electronic information systems that maintain electronic protected health information to allow access only to those persons or software programs that have been granted access rights as specified in § 164.308(a)(4).,Parse Error,"VMware Cloud Foundation (VCF) establishes a robust, layered identity and access management architecture, leveraging VCF SSO for centralized authentication and supporting federation with enterprise identity providers such as Microsoft Entra ID, ADFS, and Okta, which enables multifactor authentication and automatic user synchronization.

Granular role-based access control (RBAC) is enforced consistently across all VCF components, including vCenter, SDDC Manager, NSX Manager, VCF Operations, and VCF Automation. This RBAC model allows for the creation of custom roles with the minimum required privileges, ensuring least privilege access scoped by both function and inventory location.

VMware Live Recovery (VLR) extends this capability by enforcing RBAC through purpose-built roles and supporting custom role creation, alongside dual-site permission checks for cross-site operations.

VMware vDefend further enhances access control by implementing RBAC across its components, such as the Distributed Firewall, Security Services Platform, and Security Intelligence, ensuring that only authorized personnel can manage security policies. vDefend also provides identity-aware network enforcement through Identity Firewall, integrating with Active Directory to apply firewall policies based on authenticated user identity, and enforces least privilege at the network layer through microsegmentation and default-deny rule bases.

Service-to-service communications within VCF components are secured using certificates.

While the platform provides comprehensive technical mechanisms for enforcing access control, the organization is responsible for defining and implementing the specific technical policies and procedures that govern access rights. This includes establishing the roles, assigning users and software programs to those roles, managing the lifecycle of user accounts, and ensuring that access rights are granted and revoked in accordance with organizational security policies and regulatory requirements. The customer must also define the specific privileges associated with custom roles and regularly review access assignments to maintain a least privilege posture.",,,,,,,,,,,,,,,,,,,,,
164.312(a)(2)(i),"IAC-02, IAC-09","Implementation specifications: 
Unique user identification (Required). Assign a unique name and/or number for identifying and tracking user identity.",Contributes,"VMware Cloud Foundation provides a robust, centralized identity and access management framework through VCF SSO, which acts as the authoritative identity broker for all VCF components including vCenter, ESX, NSX, SDDC Manager, VCF Operations, and VCF Automation. All user and service authentication flows through VCF SSO, ensuring unique identification and tracking of user identities across the entire environment.

VCF SSO supports federation with enterprise identity providers via SAML or OIDC, enabling organizations to leverage existing AAA infrastructure for user lifecycle management, including provisioning and deprovisioning, and to extend multifactor authentication capabilities. Authorization is enforced through role-based access control across all VCF components, mapping unique user identities to specific roles and permissions. Service-to-service authentication within VCF utilizes certificate-based Principal Identity users, each uniquely registered with VCF SSO as a solution user.

VMware vDefend further contributes by supporting unique local user accounts (admin, audit) or directory-managed accounts for its management plane, ensuring distinct identification for access to its security functions.

While VMware Cloud Foundation delivers the comprehensive technical capabilities for unique user identification and tracking, the organization remains responsible for establishing and enforcing identity governance policies, managing the integrated enterprise identity provider infrastructure, and defining the procedures for role assignment and user lifecycle management to fully operationalize this control.",,,,,,,,,,,,,,,,,,,,,
164.312(a)(2)(ii),"IAC-15, IAC-15.2, IAC-15.9","Implementation specifications: 
Emergency access procedure (Required). Establish (and implement as needed) procedures for obtaining necessary electronic protected health information during an emergency.",Contributes,"VMware Cloud Foundation provides robust technical mechanisms to facilitate emergency access to the infrastructure platform. NSX Manager includes non-deletable root and admin accounts, ensuring a guaranteed break-glass path for network management. ESX hosts offer Direct Console User Interface (DCUI) access via the root account, enabling emergency network configuration and password recovery at the hypervisor level. VCF Operations supports single-use temporary passphrases that expire after one use, providing a controlled and inherently time-limited method for emergency access. Administrator password resets within VCF Operations require root account credentials, establishing a clear chain of accountability for such events. All emergency access activity, including authentication events for admin and root accounts, is captured in component-level audit logs, providing a comprehensive audit trail. VCF Automation further supports the activation and deactivation of accounts, allowing emergency accounts to be maintained in a deactivated state until required and subsequently deactivated after use.

While the platform delivers the essential technical capabilities and controls for secure emergency access, the establishment and implementation of the overarching organizational procedures for obtaining necessary electronic protected health information during an emergency remain the customer's responsibility. This includes defining the specific conditions that constitute an emergency, the authorization process for invoking emergency access, the roles and responsibilities of personnel involved, the documentation requirements for emergency events, and the post-event review and remediation processes.

The identification and retrieval of specific electronic protected health information (ePHI) from applications and data stores running on the platform also fall outside the scope of the infrastructure's emergency access mechanisms.",,,,,,,,,,,,,,,,,,,,,
164.312(a)(2)(iii),"CFG-02, IAC-25","Implementation specifications: 
Automatic logoff (Addressable). Implement electronic procedures that terminate an electronic session after a predetermined time of inactivity.",Meets,"VMware Cloud Foundation implements robust electronic procedures for automatic session termination across its management interfaces.

vCenter automatically terminates idle sessions after a default of 30 minutes, a setting that administrators can adjust to meet specific organizational policies. The vCenter SessionManager actively tracks session lifetimes and enforces these timeouts for both interactive UI sessions and API connections, ensuring that associated authentication tokens are invalidated upon termination.

NSX Manager similarly supports configurable session timeouts and automatically logs out users after periods of inactivity, immediately destroying session identifiers to prevent reuse.

VCF Automation enforces a 25-minute inactivity timeout on the Provider Management Portal, while VCF Operations for Networks provides configurable user session timeouts ranging from 15 minutes to 24 hours.

Additionally, the platform offers API-level controls, such as explicit logout methods within the vSphere Web Services API and the `closeSession` method in the VCF Operations PowerShell plug-in, enabling programmatic session termination.

Organizations are responsible for defining and configuring the specific predetermined inactivity timeout periods across VCF components to align with their internal security policies and compliance requirements.",,,,,,,,,,,,,,,,,,,,,
164.312(a)(2)(iv),CRY-01,"Implementation specifications: 
Encryption and decryption (Addressable). Implement a mechanism to encrypt and decrypt electronic protected health information.",Meets,"VMware Cloud Foundation provides a comprehensive and validated mechanism for encrypting and decrypting electronic protected health information across its entire stack. All VCF components leverage FIPS 140-3 validated cryptographic modules, including those within NSX, ensuring adherence to stringent security standards.

Data-at-rest encryption is implemented through vSAN cluster-based encryption or VM Encryption, supporting both external KMIP 1.1-compatible Key Management Servers and the vSphere Native Key Provider. This includes a robust three-element domain of trust, key wrapping capabilities for efficient key management, and automatic key rotation.

For data-in-transit, VCF defaults to TLS 1.3 for internal communications, with TLS 1.2 as a fallback, and encrypts all system management network communications. Encrypted vSphere vMotion secures VM migrations, and vSAN offers Data-in-Transit encryption options.

Guest-level encryption is supported via virtual Trusted Platform Module (vTPM) 2.0, enabling in-guest encryption features like Windows BitLocker. ESX stores configuration data in encrypted form, leveraging TPM 2.0 for key protection.

VMware Live Recovery extends these protections to disaster recovery workflows, mandating TLS 1.2 encryption for all replication traffic and preserving data-at-rest encryption for replicated virtual machines, utilizing shared or common key management infrastructure.

VMware vDefend further contributes by securing its inter-component communications with TLS 1.2 and approved cipher suites, encrypting its stored data using AES 256-bit, and providing TLS Inspection capabilities to decrypt, inspect, and re-encrypt network traffic for enhanced threat detection.

The platform fully implements the technical mechanisms required for encryption and decryption. The control's ""Addressable"" nature indicates that an organization determines the applicability of this control; however, if implemented, the VCF platform provides the complete technical solution.",,,,,,,,,,,,,,,,,,,,,
164.312(b),"MON-01, MON-01.4, MON-01.8, MON-01.16, MON-03, MON-03.2, MON-16","Standard: Audit controls. Implement hardware, software, and/or procedural mechanisms that record and examine activity in information systems that contain or use electronic protected health information.",Contributes,"VMware Cloud Foundation (VCF) implements robust technical mechanisms for recording and examining activity across the infrastructure stack. VCF Operations provides enterprise-wide monitoring, centralized log collection and analysis through VCF Operations for Logs, and an integrated alert generation and response framework. It continuously monitors operational state, collects metrics, ingests logs from all VCF components, and offers dashboards, analytics, and anomaly detection capabilities. Detailed audit events capture user logins, configuration changes, and system interactions, including event type, timestamps, source, outcome, and user identity. VMware Live Recovery (VLR) extends these capabilities to disaster recovery operations, providing event logging, configurable alarms for replication events, and audit trails for DR-specific actions. VMware vDefend contributes network-level security monitoring, generating security event logs from Distributed Firewall, IDS/IPS, and Malware Prevention services, and offering real-time analysis of network traffic flows, suspicious traffic detection, and SIEM integration. These platforms collectively provide comprehensive technical instrumentation for recording and examining activity within information systems.

While the platform provides extensive technical capabilities for recording and examining activity, the customer is responsible for defining and implementing the organizational processes and procedures for ongoing log review, incident escalation, and response. This includes establishing specific alert thresholds, defining incident management workflows, and determining how to prioritize monitoring based on asset criticality and data sensitivity. Furthermore, vDefend, while providing network-level behavioral analytics, does not encompass comprehensive user behavior analytics (UEBA) or user activity monitoring (UAM) across identity, endpoint, or application layers, nor does it correlate user activity across systems to detect account compromise. Organizations must implement dedicated UEBA/UAM tooling to fully address the examination of user behavior.",,,,,,,,,,,,,,,,,,,,,
164.312(c)(1),"GOV-02, DCH-01, DCH-01.2","Standard: Integrity. Implement policies and procedures to protect electronic protected health information from improper alteration or destruction.
",Contributes,"The platform provides comprehensive data integrity protection for electronic protected health information through layered encryption, robust data protection mechanisms, and granular access controls. Data at rest is secured via vSAN encryption and VM Encryption, both leveraging FIPS 140-3 validated cryptographic modules and integrating with external key management systems. Data in transit is protected by TLS across VCF components, vSAN data-in-transit encryption, and Encrypted vMotion, ensuring sensitive information remains encrypted during live migrations and inter-host communication.

For resilience against destruction and rapid recovery from alteration, vSAN data protection offers virtual machine replication, and VMware Live Site Recovery extends this with orchestrated disaster recovery, configurable recovery point objectives, and retention rules across sites. VMware Kubernetes Service includes Velero-based data protection for backup and restore operations, providing visibility into backup and restore operations. Access to collected operational data is controlled through privilege-based access controls, restricting visibility based on user roles.

VMware vDefend enhances data integrity by enforcing microsegmentation with the Distributed Firewall, restricting unauthorized network access to sensitive data stores, databases, and application tiers, thereby limiting the blast radius of a compromise and preventing lateral movement. Security Intelligence identifies risky unencrypted application protocols and highlights unusual communication patterns that may indicate data exfiltration or unauthorized alteration attempts. vDefend IDS/IPS inspects east-west network traffic for signatures and behaviors associated with data theft and exploitation, while Malware Prevention analyzes files traversing the network to detect malicious payloads targeting data integrity. These network security controls complement the platform's data-at-rest encryption, backup, replication, and access management capabilities by protecting the network paths and access patterns through which data is stored, replicated, and retrieved.

The organization is responsible for defining and implementing the specific policies and procedures that govern data integrity, including data classification, encryption key management policies, backup and recovery strategies, access control matrices, and network segmentation rules. This includes establishing acceptable data loss thresholds, defining retention rules, and ensuring that all components are configured in accordance with organizational security policies to protect ePHI from improper alteration or destruction.",,,,,,,,,,,,,,,,,,,,,
164.312(c)(2),"CFG-08, CFG-08.1, MON-01.7, MON-01.15, MON-16","Implementation specification: Mechanism to authenticate electronic protected health information (Addressable). Implement electronic mechanisms to corroborate that electronic protected health information has not been altered or destroyed in an unauthorized manner.

",Contributes,"VMware Cloud Foundation provides a robust security posture through layered access controls, encryption, and platform integrity mechanisms. VCF SSO centralizes authentication with support for multi-factor authentication and identity federation. Role-based access control (RBAC) spans all VCF components, enabling granular permissions and restricting platform-level operations.

Sensitive data can be stored in encrypted form, and vCenter provides fine-grained cryptographic operation privileges.

VCF Operations continuously monitors vCenter and vSphere cluster settings for configuration drifts, notifying administrators of deviations from desired states. vSphere Lifecycle Manager performs compliance checks and remediation for ESX hosts, while Secure Boot and Trusted Platform Module (TPM) attestation detect unauthorized modifications to firmware and boot components.

VCF also provides enhanced activity monitoring for privileged users through audit logging, privilege tracking, and anomaly detection, forwarding these logs to external SIEM platforms for correlation and forensic investigation.

VMware Live Recovery extends these capabilities by providing role-based access control for disaster recovery operations and protecting sensitive data during replication through network encryption.

VMware vDefend contributes to restricting access at the network layer through microsegmentation and firewall policy, identifying at-risk workloads, and generating audit logs for network-level access events and suspicious traffic patterns.

While VMware Cloud Foundation offers comprehensive preventative controls and platform-level integrity verification, it does not include a native File Integrity Monitor (FIM) to watch for unauthorized changes to individual files on disk within guest operating systems or VCF management appliances. Organizations are responsible for deploying a dedicated FIM product alongside VCF to corroborate that electronic protected health information has not been altered or destroyed at the guest or application file level.",,,,,,,,,,,,,,,,,,,,,
164.312(d),"HRS-01, HRS-04, IAC-28, IAC-28.2, IAC-28.3, TPM-01",Standard: Person or entity authentication. Implement procedures to verify that a person or entity seeking access to electronic protected health information is the one claimed.,Contributes,"VMware Cloud Foundation (VCF) implements robust technical procedures to verify the identity of persons or entities seeking access to electronic protected health information. All user authentication flows through VCF SSO, which validates identities against configured identity sources, ensuring proper certificate validation and trusted source verification before issuing session tokens or granting access.

VCF supports federation with external identity providers using SAML through the VCF Identity Broker and OIDC via the vSphere Supervisor platform. This delegation allows VCF to consume identities verified by the organization's external identity management system, which can enforce multifactor authentication and credential validation as prerequisites for VCF access.

Trust between VCF and these identity providers is rigorously established through certificate validation, requiring administrators to verify thumbprints or provide metadata for non-public CAs. The vSphere Supervisor platform further inspects upstream ID token claims, validating username claims to maintain a secure chain of trust from the identity provider's verification process to the VCF session. Account creation within VCF is restricted to System Administrators, and role mappings from federated identity providers require exact matches to prevent unauthorized privilege escalation.

All authentication events are meticulously captured in VCF Operations audit reports, providing comprehensive traceability of identity validation actions for audit review.

While VCF provides the secure framework for authentication and identity consumption, the formal identity proofing process, where an individual presents evidence of their identity to a registration authority, remains an organizational responsibility.

This foundational identity verification, including the issuance of initial credentials and the definition of specific identity verification policies, is managed by the customer's HR and identity management teams through their external identity provider.

VCF's role is to enforce that only users authenticated by these trusted and verified providers can access the platform.",,,,,,,,,,,,,,,,,,,,,
164.312(e)(1),"CFG-02, CRY-03, NET-01",Standard: Transmission security. Implement technical security measures to guard against unauthorized access to electronic protected health information that is being transmitted over an electronic communications network.,Meets,"VMware Cloud Foundation provides robust cryptographic protection for data in transit across management, compute, and storage networks, leveraging FIPS 140-3 validated modules and standardized protocols. VCF management communications utilize TLS by default, with TLS 1.3 as the standard and TLS 1.2 for compatibility, supported by centralized certificate lifecycle management and FIPS mode enforcement through VCF Operations for Networks.

vSAN data-in-transit encryption secures data moving between hosts, while encrypted vSphere vMotion protects VM data during live migrations, employing one-time keys for each session. VM Encryption provides comprehensive confidentiality for data both at rest and in transit to storage backends, as encryption occurs before data reaches the storage layer.

VMware Live Site Recovery further extends this protection to disaster recovery operations, mandating TLS 1.2 encryption for all replication traffic between source ESX hosts and target sites, with mutual certificate-based authentication. VLR also ensures all communications with vCenter instances occur over configurable TLS connections and supports the replication of encrypted virtual machines.

VMware vDefend complements these capabilities by providing TLS inspection for policy enforcement on encrypted traffic flows and identifying risky cleartext application protocols such as HTTP, Telnet, FTP, TFTP, and LDAP. This allows for the detection of unprotected traffic and at-risk workloads, enabling security teams to address gaps in encryption coverage.

The platform's comprehensive suite of features directly implements the technical security measures required to guard against unauthorized access to electronic protected health information during transmission over electronic communication networks.",,,,,,,,,,,,,,,,,,,,,
