Measure Number,SCF ID,Description,Relevant Regulation(s),Response,Control Coverage,,,,,,,,,,,,,,,,,,,
M11.29,CFG-03.2,A PAW shall prevent the execution of unauthorised code such as binaries or macros within documents.,3(3)(c); 4(1),Organizational implementation; outside platform scope.,Not Applicable,,,,,,,,,,,,,,,,,,,
M11.30,CRY-05,A PAW shall use data-at-rest encryption.,4(1); 4(2),Organizational implementation; outside platform scope.,Not Applicable,,,,,,,,,,,,,,,,,,,
M11.31,CFG-06.1,"Health attestation of the PAW shall be used wherever possible, and particularly where the PAW is located outside the UK.",3(3)(c); 8(6),Organizational implementation; outside platform scope.,Not Applicable,,,,,,,,,,,,,,,,,,,
M11.32,CRY-03,"All new deployments of equipment shall be administered via secure, encrypted and authenticated protocols. Insecure or proprietary security protocols shall be disabled.",3(1); 3(3)(e); 13(2)(d),"VCF/TCP enforces this requirement by default for all VCF/TCP components. Every management interface uses TLS 1.2 or 1.3 encryption for all administrative traffic. Authentication is centralized through VCF SSO with support for multi-factor authentication and federation to external identity providers. Legacy insecure protocols such as Telnet, SNMPv1/v2, and unencrypted HTTP are disabled by default. VCF/TCP's compliance checking capabilities continuously verify that only secure protocols remain enabled for administrative access.",Contributes,,,,,,,,,,,,,,,,,,,
M11.33,"RSK-06, GOV-01","Where administrative access is not via secure channels, the risk this poses and the mitigation applied shall be justified, fully documented and reported at board level.","3(3)(a); 3(3)(b); 8(4); 10(2)(d),(f); 11(b)",Organizational implementation; outside platform scope.,Not Applicable,,,,,,,,,,,,,,,,,,,
M11.34,CRY-01,Security protocols and algorithms shall not be proprietary whenever technically viable.,8(4),"VCF/TCP fully adheres to this principle by exclusively using industry-standard, non-proprietary security protocols and algorithms. All cryptographic operations for VCF/TCP rely on FIPS 140-3 validated cryptographic modules, such as platform-provided OpenSSL libraries, ensuring a high level of security and compliance that has been independently verified.

For data-in-transit, VCF/TCP uses standardized cipher suites, with Transport Layer Security (TLS) 1.3 as the default for all management and internal communications and TLS 1.2 as a compatibility fallback. For data-at-rest, features like vSAN encryption use the Advanced Encryption Standard (AES), accelerated by standard AES-NI CPU instructions. Furthermore, all key management relies on the Key Management Interoperability Protocol (KMIP) 1.1, an open standard for communicating with Key Management Servers (KMS). By building on these open, internationally recognized standards, VCF/TCP avoids proprietary security protocols.",Meets,,,,,,,,,,,,,,,,,,,
M11.35,IAC-16,"Each network equipment shall have strong, unique credentials for every account.","8(2)(b),(d); 8(4); 8(5)(b),(c)","VCF/TCP does not use generic, ""well-known"" default passwords. The requirement to change passwords upon initialization is enforced as a mandatory step in the deployment process. When you deploy VCF/TCP or its components, you must either specify a strong, unique password for each component account or have the system auto-generate a complex, random password. No default credentials are left on the device after this initial setup. After deployment, these passwords can be centrally managed, rotated, and remediated via the VCF Operations console. Password policies, such as complexity, history, and timeouts, are enforced by VCF SSO or can be federated to an external identity provider.",Meets,,,,,,,,,,,,,,,,,,,
Signalling Plane 3,,, , , ,,,,,,,,,,,,,,,,,,,
M12.01,MON-01.3,Incoming and outgoing signalling traffic shall be monitored.,"4(4)(b); 5(3); 6(1); 6(2)(a),(b); 6(3)(a),(d)","VCF/TCP provides comprehensive tools to monitor signalling traffic. VCF Operations for Networks provides deep visibility into network traffic flows, allowing operators to visualize, analyze, and baseline signalling patterns between workloads and across gateways. For deeper inspection, the VMware vDefend Distributed Firewall provides Layer 7 application-aware firewalling and can log all accepted or dropped traffic. These logs, enriched with flow details, can be streamed in real time to VCF Operations for Logs or an external SIEM for continuous monitoring and analysis.",Contributes,,,,,,,,,,,,,,,,,,,
M12.02,DCH-01.2,Signalling records are sensitive data and shall be protected from misuse or extraction., ,"VCF/TCP provides multiple layers of protection for sensitive signalling data. vSAN encryption with FIPS 140-2 validated cryptographic modules protects data at rest, including all signalling records stored on the VCF/TCP. VMware vDefend Distributed Firewall applies zero-trust network policies to prevent unauthorized access to signalling data stores. VCF Operations Audit Events framework logs all access to sensitive data repositories, creating a complete audit trail. For signalling workloads running on the VCF/TCP, vSphere VM Encryption can provide per-workload encryption with independent key management.",Contributes,,,,,,,,,,,,,,,,,,,
M12.03,"MON-01.8, THR-10",Security analysis shall be performed on signalling traffic to find and address anomalous signalling and malicious signalling.,"3(3)(a)(i); 4(1)(a); 4(2)(a); 4(4)(b); 5(3); 6(1); 6(2)(b); 6(3)(a),(d); 4(4)(b); 6(1); 6(2)(a),(b); 6(3)(a),(d),(f); 8(1)","VCF/TCP performs multi-layered security analysis. For malicious signalling, the vDefend Distributed Malware Prevention (DMP) engine provides agentless, host-level file scanning to detect and block malware on the workloads processing the signals. For network-level analysis, the vDefend Distributed IDS/IPS uses both signature-based detection for known threats and anomaly-based detection for zero-day threats. To find anomalous signalling, the vDefend Network Traffic Analysis (NTA) capability functions as an NDR solution, automatically building dynamic baselines of normal signalling behavior and flagging suspicious deviations, such as a workload communicating on an unexpected port or with a new external entity.",Contributes,,,,,,,,,,,,,,,,,,,
M12.04,"MON-01.12, THR-01",Providers shall establish an effective means to alert each other to malicious signalling where there could be a connected security compromise., ,Organizational implementation; outside platform scope.,Not Applicable,,,,,,,,,,,,,,,,,,,
M12.05,TDA-09.4,"Detailed negative testing and fuzzing shall be performed for all interfaces that process data provided over an external signalling interface (this applies to all equipment that this measure applies to, including existing equipment). The provider shall test that the live configuration prevents malformed, inconsistent, unexpected, or abnormally high volumes of signalling messages from disrupting security critical functions.", ,Organizational implementation; outside platform scope.,Not Applicable,,,,,,,,,,,,,,,,,,,
Virtualisation 1,,, , , ,,,,,,,,,,,,,,,,,,,
M13.01,"CFG-02, VPM-05","The virtualisation fabric shall be robustly locked-down, shall use the latest patch for the software version and shall be in support.", ,"VCF/TCP addresses this with a multi-layered approach. At the hardware level, the fabric is ""robustly locked-down"" using Trusted Platform Modules (TPMs) in the ESX hosts. The TPM enables Secure Boot, which performs code signing and verification of code integrity that cannot be disabled. This provides a hardware-rooted guarantee that the hosts are running a known-good, trusted hypervisor. At the software level, VCF Operations provides centralized lifecycle management to ensure the fabric is on the latest patch and uses compliance benchmarks to continuously monitor the infrastructure against the VMware Security Configuration Guide.",Contributes,,,,,,,,,,,,,,,,,,,
M13.02,CHG-02,It shall be possible to update the virtualisation fabric without negatively impacting the network functionality., ,"VCF Operations provides a comprehensive set of tools for managing the lifecycle of both VCF management components and VCF core components. You can use VCF Operations to download and manage upgrade, patch, and install binaries. You can also manage ESX components and vSphere Lifecycle Manager images and deploy optional VCF management components.",Contributes,,,,,,,,,,,,,,,,,,,
M13.03,"NET-03, CFG-03",All interfaces on physical hosts shall be locked down to restrict access. The only incoming connection to the physical host shall be for management purposes or to support the virtualisation function. There shall be no outgoing connections except to support virtual workloads. Communication between physical hosts shall be inhibited other than as part of data flows between virtual workloads.,"4(4)(b); 6(1); 6(2)(a),(b); 6(3)(d),(e); 15; 3(3)(a)(iv); 3(3)(c),(d),(e); 3(3)(f)(i),(ii); 4(1)(a),(b); 4(2)(a),(b); 4(4)(b),(c); 6(1); 14(1); 14(2)","VCF/TCP enforces this by default. VCF/TCP abstracts physical host interfaces using vSphere Distributed Switches (VDS) and assigns specific services, such as Management, vMotion, and vSAN, to dedicated VMkernel (vmk) ports. Access to these management interfaces is then locked down by the VMware vDefend Distributed Firewall (DFW). The DFW applies ""default-deny"" policies to permit only necessary traffic and inhibits all unauthorized communication between physical hosts on the management plane, blocking any traffic not explicitly required for platform operation.",Meets,,,,,,,,,,,,,,,,,,,
M13.04,IAC-01,Controls shall be in place to ensure that only known physical hosts can be added to the virtualisation fabric.,"3(1)(a),(b),(c); 3(3)(d),(e); 3(5); 4(1)(a),(b); 4(2)(a),(b); 4(4)(b); 8(1); 12(a)","VCF ensures this through a combination of privileged access control and a mandatory manual verification process. Adding a new ESX host to the fabric is a privileged, auditable action that must be initiated from VCF Operations and vCenter. During this process, vCenter establishes a secure connection to the host and presents the host's SHA-256 certificate thumbprint to the administrator. The administrator is required to manually verify that this thumbprint matches the one on the host's console (DCUI). This human-in-the-loop verification step is the critical control that prevents spoofed or ""unknown"" hosts from being added to the trusted virtualisation fabric.",Contributes,,,,,,,,,,,,,,,,,,,
M13.05,CHG-04.3,Modification of databases and systems that define the operation of the network shall require sign off by two authorised persons.,"3(1)(a),(b),(c); 3(3)(d),(e); 3(5); 4(1)(a),(b); 4(2)(a),(b); 4(4)(b); 8(2)(b),(c); 12(a),(b),(c)","While the ""two-person sign-off"" is an organizational governance policy, VCF/TCP provides the technical framework to enforce it using VCF Automation. A provider can define high-risk operations (e.g., modifying a critical network database) as a VCF Automation workflow. This workflow can then be configured with a custom approval policy that requires sign-off from two separate authorized individuals or groups before the workflow is permitted to execute the change, thus technically enforcing the business rule.",Contributes,,,,,,,,,,,,,,,,,,,
M13.06,NET-03.7,"As part of the virtualisation fabric, physically separate ports shall be used to segregate internal interface and external interface network traffic.","3(1)(a),(b),(c); 3(3)(d),(e); 3(5); 4(1)(a),(b); 4(2)(a),(b); 4(4)(b); 12(a),(b),(c)","VCF/TCP's architecture uses vSphere Distributed Switches (VDS) and multiple physical NICs (pNICs) to enforce this. The VCF Management Domain, for example, requires separate pNICs for management and vMotion traffic. Workload Domains can be configured with dedicated pNICs for internal/backend traffic (like vSAN or vMotion) and separate pNICs for external-facing workload traffic, ensuring physical port-level segregation.",Contributes,,,,,,,,,,,,,,,,,,,
M13.07,CFG-02,The virtualisation fabric shall be configured to limit the exposure of virtual workloads (e.g. disable virtual span ports by default).,"3(1)(a),(b),(c); 3(3)(d),(e); 4(1)(a),(b); 4(2)(a),(b)","The VCF fabric is secure by default. Features that could expose workload traffic, such as virtual SPAN ports (port mirroring), are disabled by default and require privileged access to enable. More importantly, the VMware vDefend Distributed Firewall (DFW) operates on a ""default-deny"" principle, meaning no traffic is allowed between workloads unless an explicit ""allow"" rule is created, minimizing exposure.",Contributes,,,,,,,,,,,,,,,,,,,
M13.08,CFG-02,The virtualisation fabric shall be configured to prevent use of hard-coded MAC addresses by default (e.g. by individual VNFs).,"3(1)(a),(b),(c); 3(3)(d),(e); 4(1)(a),(b); 4(2)(a),(b)","VCF/TCP prevents this at two levels. First, vCenter Server automatically generates and assigns a unique MAC address to each virtual NIC (vNIC) from a managed pool, avoiding manual hard-coding. Second, NSX SpoofGuard can be enabled to bind a workload's IP address to its authorized MAC address. This prevents a workload from illegitimately changing its MAC address, as any traffic not matching the vCenter-assigned MAC will be blocked.",Contributes,,,,,,,,,,,,,,,,,,,
M13.09,CRY-05,"Where providers cannot guarantee the security of the physical environment (e.g. within the exposed edge, or within a shared data centre/exchange), the virtualisation fabric shall be configured to encrypt data at rest (no data is written to the host's storage unencrypted and data is encrypted when the host is powered off).",4(5); 7(4)(b); 8(1),"VCF/TCP provides this capability through vSAN Data-at-Rest Encryption. This feature encrypts all data at the storage layer before it is written to disk, using the industry-standard AES-256 cipher. Encryption keys are managed by an external KMIP-compatible Key Management Server (KMS) or the vSphere Native Key Provider, ensuring data on the host's storage is unreadable if the host is powered off or stolen.",Contributes,,,,,,,,,,,,,,,,,,,
M13.10,CRY-03,"Where there is risk of exposure during transmission, the virtualisation fabric shall be configured to securely encrypt data in transit. Examples and guidance on the use of encryption can be found on the NCSC website.", ,"VCF/TCP provides multiple features to encrypt data in transit. Encrypted vSphere vMotion secures the memory and disk data of a VM as it is migrated between hosts, preventing interception. For storage traffic, vSAN Data-in-Transit (DIT) encryption can be enabled to secure all vSAN RDT traffic between hosts in a cluster, protecting against packet sniffing on the storage network.",Contributes,,,,,,,,,,,,,,,,,,,
M13.11,CFG-02,"All physical hosts shall be placed into a host security 'pool'. Pools may be defined based on the environment within which that host resides, the type of host, resilience and diversity, purpose etc.","3(1)(a),(b),(c); 3(3)(d); 3(5); 4(1)(a),(b); 4(2)(a),(b); 8(1)","VCF/TCP infrastructure is organized into Resource Pools, Regions and Zones. The infrastructure does not assume any trust between the services that are running on the infrastructure. This trust model is referred to as a zero-trust security model. A zero-trust security model means that no devices or users are trusted by default, whether they are inside or outside of the network.

In addition, VCF/TCP integrates with VMware vDefend to implement zero-trust lateral security. The VMware vDefend Distributed Firewall is a software-defined, distributed firewall that provides granular, context-based enforcement for VCF workloads. This ensures that workloads are protected even within the VCF infrastructure, preventing lateral movement of threats. The VMware vDefend Distributed Firewall is crucial for zero-trust as it isolates workloads and limits their communication.",Contributes,,,,,,,,,,,,,,,,,,,
M13.12,"IAC-01, CFG-02","Virtual workloads shall be authorised, tagged with a specific trust domain, and signed prior to use. The specific trust domain shall be based on the risks associated with the workload.","3(3)(d); 3(5); 4(1)(a),(b); 4(2)(a),(b); 8(1)","VCF/TCP addresses this requirement through multiple capabilities. Workloads are ""authorized"" and ""tagged"" using VCF/TCP's resource hierarchy (Organizations, Projects) and network isolation (VPCs). To address the ""signed"" requirement for virtual machine workloads, VCF/TCP supports vSphere Secure Boot, which ensures that the guest OS bootloader and drivers are cryptographically signed. For containerized workloads, VCF/TCP integrates a container registry that can be configured to scan images and enforce policies, ensuring only trusted and signed container images are deployed.",Contributes,,,,,,,,,,,,,,,,,,,
M13.13,NET-03.7,"There shall be separation between trust domains. This separation may be enforced by the virtualisation fabric, provided virtualisation cut-throughs are not used.","3(1)(a),(b),(c); 3(3)(d); 4(1)(a),(b); 4(2)(a),(b)","By default, VPCs are protected at the network level by a VMware vDefend Distributed Firewall and all platform resources are protected at the API level by default IAM configurations. The infrastructure does not assume any trust between the services that are running on the infrastructure.
This trust model is referred to as a zero-trust security model. A zero-trust security model means that no devices or users are trusted by default, whether they are inside or outside of the network.

The VMware vDefend Distributed Firewall and IAM features are highly configurable according to customer needs.

The VMware vDefend Distributed feature provides a service perimeter access with granular control over who can access resource APIs based on location, IP address and device. This is incremental to IAM protection.

Within VMware vDefend platform also supports a Zero-Trust security architecture with Micro-segmentation
This will reduce the attack surface and isolate applications with contextual segmentation policies that restrict threat lateral movement.",Contributes,,,,,,,,,,,,,,,,,,,
M13.14,"CFG-02, NET-03.7","Host pools shall be tagged with trust domains they can execute. This will be based on risk and ensure that sensitive functions are not executed alongside vulnerable functions, or in physically exposed locations. The virtualisation fabric shall verify that the virtual workload is signed and complies with policy prior to use, including that the virtual workload's trust domain is permitted to execute within the host's pool.","3(1)(a),(b),(c); 3(3)(d); 3(5); 4(1)(a),(b); 4(2)(a),(b); 4(4)(c)","In VCF/TCP, organization policies can be used to limit the locations in which resources within an Org, Folder, or Project across Regions and Zones can be deployed. For more granular control over workload placement (VMs and Containers) and to create ""host pools"" based on trust, customers can use the tenancy model to get exclusive access to one or more physical compute servers. These can be managed in groups, with control over affinity and anti-affinity for particular workloads. Regarding ""signing"" of virtual workloads, Binary Authorization can be used to ensure only containers signed by a trusted authority can be deployed within vSphere Kubernetes Service (VKS) or VMware Tanzu Kubernetes Grid (TKG). For Virtual Machines, VCF/TCP supports vSphere Secure Boot, which verifies that the guest OS bootloader and drivers are cryptographically signed, ensuring the workload itself is in a known-good state.",Contributes,,,,,,,,,,,,,,,,,,,
M13.15,NET-03.7,"A physical host shall not be able to impact hosts in other host pools. This includes, but is not limited to, spoofing VLAN/VXLANs of virtual networks.","3(1)(a),(b),(c); 3(3)(d); 3(3)(e); 3(5); 4(1)(a),(b); 4(2)(a),(b); 4(4)(c); 6(1); 6(3)(b)","VCF/TCP's virtual networking layer is designed to prevent this. The vSphere Distributed Switch (VDS) and NSX logical switches manage all L2 traffic. A VM cannot tag its own traffic with an arbitrary VLAN or VXLAN ID; this tagging is applied by the switch port the VM is connected to. The VMware vDefend Distributed Firewall then enforces policy at L4-L7, ensuring that even if L2 was compromised, the traffic would be blocked, preventing a host from impacting other network segments.",Contributes,,,,,,,,,,,,,,,,,,,
M13.16,NET-03.7,"Containers shall not be used to implement separation between trust domains. To implement separation between trust domains, providers shall use Type-1 hypervisors (without cut-throughs) or discrete physical hardware.","3(1)(a),(b),(c); 3(3)(d); 3(5); 4(1)(a),(b); 4(2)(a),(b)","VCF/TCP's architecture fully complies with this requirement. VCF/TCP runs containerized workloads (e.g., Kubernetes pods via vSphere with Tanzu) on top of the ESX Type-1 hypervisor. In this model, the hypervisor (ESX) provides the fundamental, hardware-enforced security boundary between all workloads, including between different containers. This robust isolation is then further enforced by the VMware vDefend Distributed Firewall, ensuring containers are not used as the primary boundary between trust domains.",Contributes,,,,,,,,,,,,,,,,,,,
M13.17,CFG-02,Containerised hosts shall only support a single trust domain.,"3(1)(a),(b),(c); 3(3)(d); 3(5); 4(1)(a),(b); 4(2)(a),(b)","This is an architectural control enabled by VCF. To meet this, a provider would create a dedicated Workload Domain (a separate vCenter and cluster of ESX hosts) specifically for containerized workloads of a single trust domain. This ensures that container hosts are physically segregated from hosts running other trust domains (e.g., the management domain or a VM-based workload domain), preventing co-tenancy issues.",Contributes,,,,,,,,,,,,,,,,,,,
M13.18,SEA-01,The control and orchestration functions for virtualisation are network oversight functions and shall reside in a trusted physical and logical location.,3(3)(d); 3(5),"VCF/TCP's architecture enforces this through the VCF Management Domain. All control and orchestration functions (like vCenter, NSX Manager, and VCF Operations) are deployed into this dedicated, secured cluster. This Management Domain is logically isolated by vDefend firewall rules and is intended to run on physically separate hardware from all other workloads, establishing it as the trusted physical and logical location for platform administration.",Meets,,,,,,,,,,,,,,,,,,,
M13.19,NET-03,The administration network of the virtualisation fabric is a management plane and shall be protected as such.,3(3)(d); 3(5); 4(1); 4(2),"VCF/TCP's administration network (i.e., the management VLAN/subnet) is the management plane. It is protected by default through network architecture and firewalling. vDefend policies are used to ensure that only designated administrative systems (like jump boxes) can access the management interfaces of components (vCenter, ESX, etc.) on this network, and that these components can only communicate with each other as necessary.",Contributes,,,,,,,,,,,,,,,,,,,
M13.20,"CRY-03, IAC-16",Privileged access to the virtualisation fabric shall only be available over authenticated and encrypted channels.,3(3)(a); 3(3)(d); 3(5); 4(1); 4(2); 8(5)(e),"VCF/TCP enforces this for all privileged access to the virtualization fabric. All management interfaces, including the vCenter Client, VCF Operations console, and all component APIs, use Transport Layer Security (TLS 1.3/1.2) by default. Authentication is centralized via VCF SSO (which can be MFA-enabled) and direct, unencrypted access to ESX hosts is disabled and eliminated in favor of this centralized, encrypted, and authenticated model.",Meets,,,,,,,,,,,,,,,,,,,
M13.21,"CFG-02, SEA-01",Functions that support the administration and security of the virtualisation fabric shall not be run on the fabric it is administering.,3(3)(a); 3(3)(d); 3(5); 4(1); 4(2),"This is a core architectural principle of VCF/TCP. The administrative and security functions (vCenter, NSX Manager, VCF Operations) are deployed into a dedicated VCF Management Domain. The workloads this fabric administers (e.g., the provider's applications) are run in separate Workload Domains. This ensures a ""separation of concerns"" where the management components are not co-located with the workloads they manage.",Contributes,,,,,,,,,,,,,,,,,,,
M13.22,SEA-01,Functions that support the administration and security of the virtualisation fabric are network oversight functions and shall reside in a trusted physical and logical location.,3(3)(a); 3(3)(d); 3(5); 4(1); 4(2),"VCF/TCP's architecture enforces this through the VCF Management Domain. All control and orchestration functions (like vCenter, NSX Manager, and VCF Operations) are deployed into this dedicated, secured cluster. This Management Domain is logically isolated by vDefend firewall rules and is intended to run on physically separate hardware from all other workloads, establishing it as the trusted physical and logical location for platform administration.",Meets,,,,,,,,,,,,,,,,,,,
M13.23,IAC-16,The number of privileged accounts for the virtualisation fabric shall be constrained to the minimum necessary to meet the provider's needs.,3(3)(d); 4(1)(b); 4(2)(b); 7(1); 8(1); 8(2)(a); 8(4),"This is enforced using role-based access control (RBAC) in vCenter and other components. VCF provides pre-defined roles, such as the CloudAdmin role, which grants necessary administrative capabilities without providing full, platform-level ""root"" access (e.g., access to the underlying ESX hosts). Providers can also create custom roles with the minimum necessary permissions to meet business needs, adhering to the principle of least privilege.",Contributes,,,,,,,,,,,,,,,,,,,
M13.24,"IAC-16, IAC-16.2","Virtualisation fabric administrator accounts shall not have any privileged rights to other services within the provider, or vice-versa.",4(1)(b); 4(2)(b); 7(1); 8(1); 8(2)(a); 8(4),"This separation of duties is enforced by VCF/TCP's RBAC model. A fabric administrator (e.g., a member of the CloudAdmin group) has no default permissions on other services, such as the workloads (VMs/containers) running on the fabric. Conversely, a workload administrator (e.g., a vSphere Namespace Owner) has no privileged rights to the underlying fabric (ESX, vCenter). Permissions are non-transferable and must be explicitly granted for each distinct service.",Contributes,,,,,,,,,,,,,,,,,,,
M13.25,IAC-20,Virtualisation fabric administrator accounts shall only be provided with the privileges and accesses required to carry out their role.,4(1)(b); 4(2)(b); 7(1); 8(1); 8(2)(a); 8(4),"This is a foundational security principle enforced by VCF/TCP's Role-Based Access Control (RBAC) model. VCF/TCP provides pre-defined roles, such as the CloudAdmin role, which grants administrators the privileges needed to manage the fabric (e.g., clusters, storage) without granting access to guest VM consoles or workload data. This separation of duties is explicit. Providers can also create granular, custom roles within VCF SSO to ensure all accounts, including fabric administrators, are granted the minimum set of permissions necessary for their role, fulfilling the principle of least privilege.",Contributes,,,,,,,,,,,,,,,,,,,
M13.26,IAC-16,Virtualisation fabric administrator accounts shall not have access to the provider's workloads running within the virtualised environment.,4(1)(b); 4(2)(b); 7(1); 8(1); 8(2)(a); 8(4),"This is a foundational security principle enforced by VCF/TCP's Role-Based Access Control (RBAC) model. VCF/TCP provides pre-defined roles, such as the CloudAdmin role, which grants administrators the privileges needed to manage the fabric (e.g., clusters, storage) without granting access to guest VM consoles or workload data. This separation of duties is explicit. Providers can also create granular, custom roles within VCF SSO to ensure all accounts, including fabric administrators, are granted the minimum set of permissions necessary for their role, fulfilling the principle of least privilege.",Contributes,,,,,,,,,,,,,,,,,,,
M13.27,NET-03.7,Network oversight functions shall not share trust domains or host pools with workloads that are not network oversight functions.,3(3)(d); 3(5),"This is a customer design choice. As noted above,  platform enables physical segregation of hosts at the Region, Zone and Node level as well as logical segregation via Projects, Orgs and VPCs, with a range of related controls such as IAM, VMware vDefend and VPC Service Controls.",Contributes,,,,,,,,,,,,,,,,,,,
M13.28,NET-03.7,Containers shall not be used to enforce separation between different network oversight functions and between network oversight functions and other functions., ,"VCF/TCP's architecture fully complies with this requirement. VCF/TCP runs containerized workloads (e.g., Kubernetes pods via vSphere with Tanzu) on top of the ESX Type-1 hypervisor. In this model, the hypervisor (ESX) provides the fundamental, hardware-enforced security boundary between all workloads, including between different containers. This robust isolation is then further enforced by the VMware vDefend Distributed Firewall, ensuring containers are not used as the primary boundary between trust domains.",Contributes,,,,,,,,,,,,,,,,,,,
Third Party Supplier Measures 4,,, , , ,,,,,,,,,,,,,,,,,,,
M14.01,"RSK-06, TDA-17","Once equipment reaches the vendor's end-of-life date, providers shall only continue to use the equipment if the following conditions are met: a) the equipment's configuration is rarely modified, and modifications are reviewed; b) either the addressable interfaces of the unsupported equipment are monitored and use of those interfaces can be explained, or there is no realistic possibility that exploitation of all unsupported equipment would have an impact on the network; and c) the network exposure (attack surface) of the unsupported equipment is minimal (e.g. some transport equipment).",3(3)(d); 3(5),"VCF/TCP provides integrated lifecycle management tools for infrastructure updates and patch deployment with zero-downtime maintenance capabilities through the Distributed Resource Scheduler (DRS). VCF includes built-in alerts for security vulnerabilities and available updates. Broadcom maintains a security advisory system through web publications and email notifications to inform customers of security updates and patches. VCF/TCP supports staged rollouts, rollback capabilities, and integration with change management processes. Live Patching capabilities update and restart discrete components without requiring host evacuation.

VCF Operations orchestration provides centralized lifecycle management for the entire stack. Pre-update validation performs health checks and compatibility verification before updates. Update bundle management enables download, staging, and repository management for offline environments. Component interdependency management ensures orchestrated updates that respect dependencies between platform components.

vSphere Lifecycle Manager (vLCM) with Hardware Support Manager (HSM) plugins enables vendor-specific firmware and driver management. VCF/TCP supports Ensure Accessibility maintenance mode for vSAN storage clusters. This uses durability components to maintain data availability during updates. VMware Live Site Recovery supports N-1 version compatibility between sites for offline deployments. This enables phased upgrades across protected and recovery sites. Kubernetes workload lifecycle management includes automated updates for vSphere Kubernetes releases with support for rolling updates to maintain application availability.

Platform uses Configuration Profiles, Host Profiles, and Image-Based Lifecycle Management to periodically assess the configuration of hosts. It alerts if drift is detected and offers automated remediation. Security and operations teams can use interfaces, command-line interface (CLI) tools, and APIs to automate security posture assessment and remediation workflows. Teams can also integrate third-party monitoring, analysis, and Security Information and Event Management (SIEM) tools.

VCF Operations includes rule-based and machine learning-based analytics for proactive threat detection and anomaly identification. VCF/TCP tracks configuration drift across all infrastructure components. Administrators can trace configuration changes back to specific users and timestamps. This configuration management capability complements the Audit Events framework by providing detailed change tracking for compliance reporting and security investigations.",Contributes,,,,,,,,,,,,,,,,,,,
M14.02,"NET-03, MON-02","The provider shall block and record any SIM OTA messages sent to their own SIMs, except where these are sent from allowed sources.","3(3)(a),(b),(e); 3(4); 6(2); 6(3); 7(1); 7(4)(c); 4(6); 7(1); 7(4)(a)(i); 7(4)(b); 8(5)(a); 8(6)","The platform provides the network security controls necessary to implement blocking and logging requirements. VMware vDefend Distributed Firewall can apply granular filtering policies to SIM OTA traffic, blocking messages based on source address, protocol characteristics, or message signatures. NSX Gateway Firewall enforces perimeter controls for external OTA message sources. All blocked attempts are logged through the VMware vDefend logging framework, which captures source address, destination, timestamp, and block reason. These logs integrate with VCF Operations for Logs for centralized analysis and compliance reporting. Allowed OTA sources can be whitelisted through firewall rules, ensuring only authorized provisioning systems can send SIM management messages. The platform's zero-trust architecture ensures that even internal OTA message sources must be explicitly permitted rather than implicitly trusted.",Contributes,,,,,,,,,,,,,,,,,,,
Network Oversight Functions,,, , , ,,,,,,,,,,,,,,,,,,,
M15.01,"CFG-02, VPM-05,TDA-17","Network oversight functions shall be robustly locked-down, in support and patched within such period as is proportionate to the risk of security compromise that the patch is intended to address (see Table 2). Should this not be possible, patches shall be deployed on network oversight functions as soon as practicable and robust alternative mitigations put in place until the relevant patch has been deployed.","3(3)(a),(d),(e); 3(5); 4(1)(b); 4(2)(b); 8(3); 12","VCF/TCP provides a multi-layered solution to ensure network oversight functions are robustly locked-down. VCF Operations and vSphere Lifecycle Manager (vLCM) provide centralized, automated lifecycle management to ensure components are patched proportionately to the risk. As an ""effective alternative mitigation"" for high-risk, zero-day exploits, VMware vDefend's ""virtual patching"" capability can apply IDS/IPS signatures to block network-level attacks before the patch is deployed. This is combined with VCF Operations compliance scanning to detect misconfigurations and VMware vDefend Distributed Firewall rules to ensure the management plane is locked-down and accessible only from authorized workstations.",Contributes,,,,,,,,,,,,,,,,,,,
M15.02,"SEA-08,SEA-08.1",Any service that supports or contains network oversight functions shall be rebuilt from an up-to-date known-good software state every 24 months. This includes the operating system and application software. This can be performed in line with a system upgrade.,"3(3)(a),(d),(e); 4(1)(b); 4(2)(b); 8(3); 12","VCF/TCP directly supports the 24-month rebuild requirement through its integrated lifecycle management capabilities. VCF Operations maintains versioned software bundles that represent known-good baseline configurations for all VCF/TCP components. These bundles include ESX hypervisor images, management component versions, and validated hardware compatibility. Providers can use vSphere Lifecycle Manager to maintain gold master images for network oversight workloads, ensuring rapid deployment from verified baseline states. VCF/TCP's workload domain architecture enables blue-green deployment strategies where new domains are built from current known-good baselines while existing services continue operating. Once validated, traffic can be migrated to the rebuilt domain with minimal disruption. For stateful services, vSphere vMotion and NSX allows migration of running workloads between infrastructure without downtime. VCF Operations tracks deployment dates and configuration baselines for all components, enabling providers to identify systems approaching the 24-month rebuild threshold. VCF/TCP's compliance checking capabilities can validate that rebuilt systems match approved baseline configurations before they enter production. Automated deployment through VCF Operations ensures consistency and reduces the risk of configuration drift during rebuild operations. This combination of baseline management, automated deployment, and migration capabilities enables providers to maintain the 24-month rebuild cadence while minimizing service impact.",Contributes,,,,,,,,,,,,,,,,,,,
