Control ID,SCF ID,Description,Control Coverage,Response,
30.2(d),PRI-14,"Each processor and, where applicable, the processor’s representative shall maintain a record of all categories of processing activities carried out on behalf of a controller, containing:

d. where possible, a general description of the technical and organisational security measures referred to in Article 32(1).
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
30.3,PRI-14,"The records referred to in paragraphs 1 and 2 shall be in writing, including in electronic form.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
30.4,CPL-01.3,"The controller or the processor and, where applicable, the controller’s or the processor’s representative, shall make the record available to the supervisory authority on request.",Contributes,"VMware Cloud Foundation, VMware Live Recovery, and VMware vDefend collectively provide robust capabilities for generating, retaining, and making various types of records technically accessible.

VCF components generate detailed logs of security-relevant events, including authentication attempts, configuration changes, and administrative actions, supporting syslog forwarding to external SIEM systems for centralized retention and long-term evidence preservation. Its compliance management engine continuously monitors infrastructure against security benchmarks, calculating compliance scores, flagging violations, and providing actionable remediation recommendations, which can be used to generate point-in-time and ongoing evidence of security posture.

VMware Live Recovery maintains recovery plan history reports, event logs for DR-related administrative actions, and protection group configurations, all of which are viewable, exportable, and programmatically retrievable via API for audit purposes.

VMware vDefend provides auditable records of security policy configuration and enforcement, including rule analysis results and role-based access control logs, which are essential for demonstrating conformity with cybersecurity obligations.

These technical capabilities produce the necessary artifacts and evidence that organizations require for compliance assessments.

While these platforms provide the technical foundation for record generation and accessibility, the organization remains responsible for defining and implementing the overarching compliance program. This includes identifying applicable laws and regulations, mapping controls to specific requirements, and establishing the formal processes and procedures for responding to requests from supervisory authorities. The actual act of compiling, reviewing, and formally submitting the requested records to a supervisory authority falls outside the technical scope of the platforms and requires organizational governance and human accountability.",
31,CPL-01.3,"The controller and the processor and, where applicable, their representatives, shall cooperate, on request, with the supervisory authority in the performance of its tasks.",Contributes,"VMware Cloud Foundation, VMware Live Recovery, and VMware vDefend provide robust technical capabilities that generate the necessary artifacts and evidence to support an organization's cooperation with supervisory authorities.

VMware Cloud Foundation includes a compliance management engine that continuously monitors infrastructure against security benchmarks, calculates compliance scores, flags violations, and provides remediation recommendations. It supports automated security posture assessment and remediation, allowing organizations to generate point-in-time and ongoing evidence of their security posture. VCF components generate detailed logs of security-relevant events, including authentication attempts, configuration changes, role assignments, and administrative actions, supporting syslog forwarding to external SIEM systems for centralized log retention and long-term evidence preservation.

VMware Live Recovery maintains recovery plan history reports, providing evidence of DR testing and execution, and supports event logging for an audit trail of DR-related administrative actions. Protection group configurations, combined with replication status monitoring and recovery plan test records, produce artifacts demonstrating conformity with DR-specific regulatory requirements.

VMware vDefend contributes by providing auditable records of security policy configuration and enforcement, with features like Rule Analysis to verify alignment of implemented rules with documented security requirements, and role-based access controls to support segregation of duties and evidence collection.

While these platforms produce the technical evidence and audit trails essential for demonstrating conformity, the ultimate responsibility for defining organizational processes, tracking applicable laws and regulations, mapping controls to requirements, and managing the overall compliance program, including the direct act of cooperation with supervisory authorities, remains with the customer.",
32.1,PRI-01.6,"Taking into account the state of the art, the costs of implementation and the nature, scope, context and purposes of processing as well as the risk of varying likelihood and severity for the rights and freedoms of natural persons, the controller and the processor shall implement appropriate technical and organisational measures to ensure a level of security appropriate to the risk, including inter alia as appropriate:
a. the pseudonymisation and encryption of personal data;
b. the ability to ensure the ongoing confidentiality, integrity, availability and resilience of processing systems and services;
c. the ability to restore the availability and access to personal data in a timely manner in the event of a physical or technical incident;
d. a process for regularly testing, assessing and evaluating the effectiveness of technical and organisational measures for ensuring the security of the processing.",Contributes,"VMware Cloud Foundation provides robust logical security safeguards, isolating workloads within their own execution environments and enforcing data separation through vSphere Namespaces with defined resource limits, storage policies, and access controls. Data at rest is protected by VM Encryption and vSAN Encryption, while the Supervisor encrypts all secrets stored in its etcd database. VCF Automation includes a privacy-aware feature that controls the display of full user names in the user interface, supporting explicit consent for exposing personally identifiable information.

VMware vDefend further enhances protection through network-level security controls. The Distributed Firewall enforces microsegmentation policies, isolating personal data-bearing workloads, restricting lateral movement, and limiting access to sensitive data flows. Security Intelligence identifies cleartext protocols that may expose personal data in transit, enabling remediation. IDS/IPS provides threat detection for network-based attacks, and Gateway Firewall policies restrict access to critical infrastructure like DNS, DHCP, NTP, and LDAP, bolstering data confidentiality and integrity.

The organization is responsible for defining and implementing comprehensive organizational measures, including data classification, physical security of the underlying infrastructure, and establishing a process for regularly testing, assessing, and evaluating the effectiveness of all technical and organizational security measures. While VMware Cloud Foundation provides the foundation for resilient systems, the customer must implement specific backup and disaster recovery strategies to ensure timely restoration of personal data availability and access following a physical or technical incident. Pseudonymisation of personal data, where required, remains an application or data management responsibility.",
32.1(a),"CRY-01, PRI-01.6","Taking into account the state of the art, the costs of implementation and the nature, scope, context and purposes of processing as well as the risk of varying likelihood and severity for the rights and freedoms of natural persons, the controller and the processor shall implement appropriate technical and organisational measures to ensure a level of security appropriate to the risk, including inter alia as appropriate:
a. the pseudonymisation and encryption of personal data;
",Contributes,"VMware Cloud Foundation, VMware Live Recovery, and VMware vDefend collectively implement robust cryptographic protections for personal data across the infrastructure stack.

VMware Cloud Foundation utilizes FIPS 140-3 validated cryptographic modules, including those within NSX, and employs TLS 1.3 as the default for internal communications, with TLS 1.2 as a fallback. Data-in-transit is secured using TLS with customizable PKI options and centralized certificate lifecycle management. Data-at-rest encryption is provided via vSAN cluster-based encryption or VM Encryption, leveraging AES-NI CPU offloading and managed through KMIP 1.1-compatible external Key Management Servers or vSphere Native Key Provider, with a three-element domain of trust and key wrapping capabilities.

VCF supports guest-level security features such as virtual Trusted Platform Module (vTPM) 2.0 and Secure Boot, enabling in-guest encryption and UEFI verification. Encrypted vSphere vMotion secures VM migrations, and Memory Tiering encryption protects tiered memory. ESX stores configuration data in encrypted form, leveraging TPM 2.0 for key storage.

Cryptographic operations are controlled through fine-grained privileges in vCenter, and vSAN includes secure disk wipe capabilities per NIST 800-88.

VMware Live Recovery ensures all replication traffic between protected and recovery sites is encrypted using TLS 1.2, mandatory in newer versions, and supports the replication of encrypted virtual machines by sharing common Key Management Servers or using vSphere Native Key Provider. Site pairing uses certificate-based trust establishment.

VMware vDefend secures inter-component communications using TLS 1.2 with approved cipher suites, manages certificates, and encrypts stored data using AES 256-bit. Its Gateway Firewall provides TLS Inspection capabilities to decrypt, inspect, and re-encrypt encrypted traffic, enhancing threat detection.

VCF also contributes to pseudonymization and data separation by isolating workloads, enforcing data separation, providing vSphere Namespaces, and including a privacy-aware feature to control the display of full user names. vDefend's Distributed Firewall enforces microsegmentation to isolate personal data-bearing workloads, and Security Intelligence identifies cleartext protocols that may expose personal data in transit.

While the platform provides extensive technical capabilities for encryption and supports data separation, the ultimate responsibility for assessing risk, defining appropriate organizational policies, and implementing specific pseudonymization strategies rests with the customer. This includes establishing and enforcing policies for key management, certificate lifecycle, access controls, and data classification. The customer is also responsible for the physical security of the underlying infrastructure and for implementing content-level Data Loss Prevention (DLP) solutions, which are outside the platform's scope.",
32.1(b),PRI-01.6,"Taking into account the state of the art, the costs of implementation and the nature, scope, context and purposes of processing as well as the risk of varying likelihood and severity for the rights and freedoms of natural persons, the controller and the processor shall implement appropriate technical and organisational measures to ensure a level of security appropriate to the risk, including inter alia as appropriate:

b. the ability to ensure the ongoing confidentiality, integrity, availability and resilience of processing systems and services;
",Contributes,"VMware Cloud Foundation (VCF) and VMware vDefend collectively provide robust technical and organizational measures to ensure the ongoing confidentiality, integrity, availability, and resilience of processing systems and services. VCF isolates workloads within their own execution environments and utilizes vSphere Namespaces to create isolated sandboxes with enforced resource limits, storage policies, and access controls, preventing interference and enforcing data separation. VM Encryption and vSAN Encryption protect data at rest, while the Supervisor encrypts all secrets stored in its etcd database, safeguarding sensitive configuration data. VCF also includes a privacy-aware feature that controls the display of full user names in the user interface, supporting explicit consent for exposing personal user data.

VMware vDefend enhances these capabilities by applying network-level security controls to workloads that store, process, or transmit personal data. The Distributed Firewall enforces microsegmentation policies, isolating PD-bearing workloads, restricting lateral movement, and limiting access to sensitive data flows. Security Intelligence identifies cleartext protocols that may expose personal data in transit, enabling remediation of insecure communication paths. IDS/IPS provides threat detection for network-based attacks, and Gateway Firewall policies restrict access to critical DNS, DHCP, NTP, and LDAP infrastructure, all contributing to the overall security posture and resilience of processing systems.

Organizations retain responsibility for establishing comprehensive data classification schemes, implementing physical security safeguards for the underlying infrastructure, and defining policies for managing explicit consent regarding personal data display. Additionally, customers must ensure that sensitive data, such as passwords and private keys, are not stored in plain text within data sets, and content-level Data Loss Prevention (DLP) remains an organizational responsibility outside the direct scope of these platforms.",
32.1(c),BCD-01,"Taking into account the state of the art, the costs of implementation and the nature, scope, context and purposes of processing as well as the risk of varying likelihood and severity for the rights and freedoms of natural persons, the controller and the processor shall implement appropriate technical and organisational measures to ensure a level of security appropriate to the risk, including inter alia as appropriate:

c. the ability to restore the availability and access to personal data in a timely manner in the event of a physical or technical incident;
",Contributes,"VMware Cloud Foundation (VCF) provides robust technical capabilities to ensure the ability to restore availability and access to personal data following physical or technical incidents. vSphere High Availability (HA) automatically restarts virtual machines on surviving hosts, maintaining workload resilience. vSAN stretched clusters extend fault tolerance across availability zones, while vSAN Data Protection offers snapshot-based protection with configurable retention and replication. VCF mandates regular, consistent backups for all management components, including SDDC Manager, vCenter, and NSX, utilizing Changed Block Tracking for efficient incremental backups. VMware HCX facilitates workload mobility and replication between sites, supporting various migration and recovery scenarios. VCF Operations monitors infrastructure health, provides alerts, and supports capacity planning to proactively address potential availability threats. VMware Live Recovery further enhances these capabilities by enabling the creation and execution of detailed recovery plans, organizing virtual machines into protection groups, and supporting non-disruptive testing to validate procedures. It offers host-based replication with granular Recovery Point Objectives (RPO) and integrates with array-based replication. The DR IP Customizer automates network reconfiguration during recovery, and VMware vDefend ensures security posture, including distributed firewall policies, is maintained during disaster recovery events and workload migrations, preventing security gaps.

While the platform provides extensive technical tools for data restoration and availability, the organization is responsible for defining and implementing a comprehensive Business Continuity Management System (BCMS). This includes establishing specific Recovery Time Objectives (RTOs) and RPOs for personal data, developing detailed BC/DR playbooks, conducting regular business impact analyses, and ensuring organizational governance processes are in place to manage and test these capabilities. The customer must configure and manage backup schedules, retention policies, replication targets, and recovery plans within the platform to align with their specific business requirements and regulatory obligations for personal data.",
32.1(d),"CPL-02, CPL-02.2","Taking into account the state of the art, the costs of implementation and the nature, scope, context and purposes of processing as well as the risk of varying likelihood and severity for the rights and freedoms of natural persons, the controller and the processor shall implement appropriate technical and organisational measures to ensure a level of security appropriate to the risk, including inter alia as appropriate:

d. a process for regularly testing, assessing and evaluating the effectiveness of technical and organisational measures for ensuring the security of the processing.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
32.2,RSK-01,"In assessing the appropriate level of security account shall be taken in particular of the risks that are presented by processing, in particular from accidental or unlawful destruction, loss, alteration, unauthorised disclosure of, or access to personal data transmitted, stored or otherwise processed.
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
32.4,"HRS-02, HRS-03, IAC-08","The controller and processor shall take steps to ensure that any natural person acting under the authority of the controller or the processor who has access to personal data does not process them except on instructions from the controller, unless he or she is required to do so by Union or Member State law.",Contributes,"VMware Cloud Foundation enforces robust, granular role-based access control (RBAC) across all its components, including vCenter, NSX, SDDC Manager, VCF Operations, VCF Automation, and Kubernetes namespaces. This architecture restricts access to technology assets, applications, services, and data based on assigned roles, ensuring that individuals can only perform actions explicitly permitted by their defined privileges. vCenter provides fine-grained authorization through a permissions model that associates roles with users or groups, allowing for immediate application of updated privilege sets. NSX implements RBAC across multiple operational domains, enabling administrators to create custom roles. SDDC Manager, VCF Operations, and VCF Automation also leverage RBAC with granular permissions and predefined roles to govern access at various levels, including project-level controls for Kubernetes workloads. VMware Live Recovery extends this capability by enforcing RBAC through purpose-built roles registered in vCenter, controlling all disaster recovery configuration and administration operations, including dual-site permission checks for cross-site actions. VMware vDefend further strengthens this by implementing RBAC across its Distributed Firewall, Security Services Platform, and Security Intelligence components, restricting who can create or modify firewall rules, manage security policies, and access threat analysis features. This ensures that security policy management is separated from infrastructure administration, preventing unauthorized changes to the microsegmentation posture and security analytics configurations.

While the platform provides the comprehensive technical controls to enforce access and processing restrictions based on assigned roles and privileges, the customer is responsible for defining the specific ""instructions from the controller"" and mapping these instructions to appropriate roles and user assignments within the VMware Cloud Foundation environment. The customer must also establish the necessary organizational policies and processes to manage these roles, ensure proper segregation of duties, and address any requirements for processing personal data mandated by Union or Member State law.",
33.1,"IRO-04.1, IRO-10.2","In the case of a personal data breach, the controller shall without undue delay and, where feasible, not later than 72 hours after having become aware of it, notify the personal data breach to the supervisory authority competent in accordance with Article 55, unless the personal data breach is unlikely to result in a risk to the rights and freedoms of natural persons. Where the notification to the supervisory authority is not made within 72 hours, it shall be accompanied by reasons for the delay.",Contributes,"VMware Cloud Foundation provides the essential infrastructure for timely incident detection and internal reporting, which are critical precursors to external breach notification. VCF Operations continuously monitors the environment, generating alerts based on configurable thresholds and event definitions. These alerts can be delivered through multiple outbound channels, including SNMP traps, webhooks, ServiceNow, Slack, and email, ensuring that potential data exposure events reach the appropriate internal teams without undue delay. All VCF components support syslog forwarding to external log aggregation and SIEM platforms, offering security operations teams a centralized view of events across the entire stack. VCF Operations for Logs ingests and indexes these events, enabling real-time search, correlation, and alert definition over log data. The Diagnostic Findings feature further surfaces known product issues and VMSA-based security exposures, providing additional signals for incident triage. VCF Operations also supports incident investigation workflows, allowing operators to flag metrics, mark root causes, and track incident status, which aids in assembling the necessary information for comprehensive incident reports.

While VCF provides robust technical capabilities for detection, correlation, and internal delivery of incident information, the ultimate responsibility for determining if a personal data breach is unlikely to result in a risk to the rights and freedoms of natural persons, making the decision to notify supervisory authorities, drafting the formal notification, and providing reasons for any delay beyond 72 hours, rests with the customer's organizational processes, policies, and human accountability. The platform facilitates the technical aspects that feed into these reporting workflows but does not execute the final regulatory notification itself.",
33.2,IRO-10.2,The processor shall notify the controller without undue delay after becoming aware of a personal data breach.,Contributes,"VMware Cloud Foundation provides the essential infrastructure for timely incident reporting, encompassing comprehensive monitoring, alerting, and log forwarding capabilities.

VCF Operations continuously monitors the environment, generating alerts based on configurable thresholds and event definitions. These alerts can be delivered through multiple outbound channels, including SNMP traps, webhooks, a ServiceNow plug-in for automatic incident creation, a Slack plug-in, and email, with notification rules ensuring critical events reach the appropriate teams without delay.

All VCF components support syslog forwarding to external log aggregation and SIEM platforms, providing security operations teams with a centralized view of events across the stack. VCF Operations for Logs further ingests and indexes these events, enabling real-time search, correlation, and alert definition. The platform also supports incident investigation workflows, allowing operators to flag metrics, mark root causes, and track incident status, which aids in assembling the necessary information for incident reports.

While VMware Cloud Foundation delivers the detection, correlation, and delivery mechanisms that feed into reporting workflows, the actual notification of the controller, regulators, affected individuals, or contractual counterparties remains an organizational process. The customer is responsible for establishing and executing the policies and procedures for formal breach notification, leveraging the incident data and alerts provided by VCF.",
33.3(a),IRO-10.2,"The notification referred to in paragraph 1 shall at least:
a. describe the nature of the personal data breach including where possible, the categories and approximate number of data subjects concerned and the categories and approximate number of personal data records concerned;
b.communicate the name and contact details of the data protection officer or other contact point where more information can be obtained;
c. describe the likely consequences of the personal data breach;
d. describe the measures taken or proposed to be taken by the controller to address the personal data breach, including, where appropriate, measures to mitigate its possible adverse effects.",Contributes,"VMware Cloud Foundation provides the robust infrastructure for monitoring, alerting, and log forwarding, which is crucial for detecting events that may involve sensitive or regulated data and routing them to the appropriate response teams. VCF Operations continuously monitors the environment, generating alerts based on configurable thresholds and event definitions. These alerts can be delivered through multiple outbound channels, including SNMP traps, webhooks, and direct integrations with systems like ServiceNow, Slack, and email, ensuring that potential incidents are communicated to internal teams without delay. All VCF components support syslog forwarding to external log aggregation and SIEM platforms, centralizing event data for comprehensive security operations. VCF Operations for Logs ingests and indexes these events, enabling real-time search, correlation, and alert definition over log data, which is vital for understanding the scope and nature of an incident. The platform's incident investigation workflows allow operators to flag metrics, mark root causes, and track incident status, directly supporting the assembly of information required for comprehensive incident reports.

While VCF provides the essential technical foundation for incident detection, data aggregation, and internal incident management, the organization is responsible for defining the specific content of the personal data breach notification. This includes articulating the nature of the breach, identifying the categories and approximate numbers of data subjects and records concerned, communicating data protection officer contact details, describing likely consequences, and detailing the measures taken or proposed to address and mitigate adverse effects. The actual notification to regulators, affected individuals, or contractual counterparties is an organizational process that falls outside the VCF platform's scope.",
33.3(b),IRO-10.2,"The notification referred to in paragraph 1 shall at least:

b.communicate the name and contact details of the data protection officer or other contact point where more information can be obtained;
",Contributes,"VMware Cloud Foundation provides the essential monitoring, alerting, and logging infrastructure required to detect security incidents and events that may necessitate an external notification.

VCF Operations continuously monitors the environment, generates alerts based on configurable thresholds, and delivers these internal notifications through various channels such as SNMP, webhooks, ServiceNow, Slack, and email to internal response teams.

All VCF components support syslog forwarding to external SIEM platforms, and VCF Operations for Logs ingests and indexes these events, enabling real-time search, correlation, and alert definition for comprehensive incident investigation.

These capabilities are fundamental for identifying when an incident has occurred and for gathering the technical data required to inform an incident report, thereby enabling the precursor activities that lead to external communications.

The actual process of drafting and sending external notifications to regulators, affected individuals, or contractual counterparties, and ensuring those notifications include specific organizational contact details such as the Data Protection Officer's information, is an organizational responsibility.

VMware Cloud Foundation does not manage or embed DPO contact information into external communications.

The customer is responsible for establishing the policies, procedures, and human processes to perform these external notifications and to ensure they comply with all content requirements, including the communication of DPO contact details.",
33.3(c),IRO-10.2,"The notification referred to in paragraph 1 shall at least:

c. describe the likely consequences of the personal data breach;
",Contributes,"VMware Cloud Foundation provides the foundational infrastructure and operational tools necessary for detecting, correlating, and investigating security events that may lead to a personal data breach. The platform offers continuous monitoring, configurable alerting, and comprehensive log forwarding capabilities across all components, enabling centralized event visibility through external SIEM platforms or VCF Operations for Logs.

Its incident investigation workflows allow operators to flag critical metrics, identify root causes, and track incident status, thereby assembling the foundational data required to understand the scope and nature of a security incident. Diagnostic Findings further enhance this by surfacing known product issues and security exposures relevant to incident triage.

While VCF delivers the technical mechanisms to identify and analyze potential breach events, the ultimate determination and description of the likely consequences of a personal data breach, including the assessment of impact on data subjects and the articulation of this information in official notifications, remain an organizational responsibility. This requires customer-defined policies, processes, and human expertise to interpret the technical data provided by VCF and formulate the required breach notification content.",
33.3(d),IRO-10.2,"The notification referred to in paragraph 1 shall at least:

d. describe the measures taken or proposed to be taken by the controller to address the personal data breach, including, where appropriate, measures to mitigate its possible adverse effects.",Contributes,"VMware Cloud Foundation provides the foundational infrastructure for detecting events that may involve sensitive or regulated data, routing these events for response, and supporting incident investigation. VCF Operations continuously monitors the environment, generating alerts based on configurable thresholds and event definitions, and can deliver notifications through multiple outbound channels including SNMP traps, webhooks, ServiceNow, Slack, and email. All VCF components support syslog forwarding to external log aggregation and SIEM platforms, enabling centralized visibility and real-time search, correlation, and alert definition over log data. VCF Operations for Logs ingests and indexes these events, while the Diagnostic Findings feature surfaces known product issues and VMSA-based security exposures, providing additional signals for incident triage. VCF Operations further supports incident investigation workflows, allowing operators to flag metrics, mark root causes, and track incident status within the platform, which are essential capabilities for assembling the information required for incident reports.

While VCF provides the technical mechanisms for detection, investigation, and data aggregation, the ultimate responsibility for describing the specific measures taken or proposed to address a personal data breach, including strategies to mitigate adverse effects, rests with the customer's organizational processes. The formulation of the narrative for regulatory or individual notifications, and the determination of specific remedial actions, are outside the scope of the VCF platform.",
33.4,IRO-10.2,"Where, and in so far as, it is not possible to provide the information at the same time, the information may be provided in phases without undue further delay.",Contributes,"VMware Cloud Foundation provides the essential infrastructure for timely incident detection, alerting, and information assembly, which directly supports the ability to provide information in phases without undue delay. The platform continuously monitors the environment, generating alerts based on configurable thresholds and event definitions. These alerts can be delivered through multiple outbound channels, including SNMP traps, webhooks, ServiceNow, Slack, and email, with notification rules ensuring that events potentially involving data exposure reach the appropriate teams promptly.

All VCF components support syslog forwarding to external log aggregation and SIEM platforms, enabling security operations teams to maintain a centralized, real-time view of events across the stack.

VCF Operations for Logs further ingests and indexes these events, facilitating real-time search, correlation, and alert definition over log data, while incident investigation workflows within VCF Operations assist in flagging metrics, marking root causes, and tracking incident status to assemble the necessary information for reports.

While VCF delivers the critical detection, correlation, and internal delivery mechanisms that feed into reporting workflows, the actual notification of regulators, affected individuals, or contractual counterparties remains an organizational process. Customers are responsible for establishing the policies, procedures, and human accountability required to define how information is phased and to ensure the timely external communication of incident details.",
33.5,IRO-09,"The controller shall document any personal data breaches, comprising the facts relating to the personal data breach, its effects and the remedial action taken. That documentation shall enable the supervisory authority to verify compliance with this Article.",Contributes,"VMware Cloud Foundation provides technical instrumentation that supports situational awareness for cybersecurity incidents. Its Operations component includes a Troubleshooting Incidents page for managing and tracking incidents, allowing operators to view summaries and track status as resolved or unresolved. VCF enables alert-driven incident detection through metric event symptoms.

VCF integrates with ServiceNow via a notification plug-in and management pack. This integration creates structured incident records in ServiceNow, populating attributes such as caller, category, impact, urgency, and resolution notes, and synchronizes updates between VCF alerts and ServiceNow incidents.

Furthermore, VCF integrates with SIEM and log management systems through encrypted syslog forwarding, enabling continuous monitoring and data correlation across the infrastructure stack.

VMware Live Recovery provides situational awareness for disaster recovery, offering real-time monitoring of protection status, site connectivity, and recovery readiness. It tracks protection group status, generates warning events for unprotected virtual machines, and provides visibility into recovery plan readiness. The VCF Operations Management Pack integration extends this monitoring to include replication health metrics and issue tracking.

VMware vDefend provides network-layer situational awareness capabilities that contribute to documenting, monitoring, and reporting the status of cybersecurity incidents. Its Security Intelligence engine detects and categorizes suspicious traffic events by severity, mapping them to MITRE ATT&CK tactics and techniques.

The Discover & Take Action view visualizes entities and traffic flows, identifying anomalous traffic and assessing the scope of security incidents through blast radius views. vDefend tracks detected versus prevented events, summarizes suspicious events, and maintains a 30-day record of all IDS/IPS events for historical context.

Network Detection and Response correlates individual detection events into campaigns, providing a higher-level view of related threat activity across time and workloads. vDefend Advanced Threat Prevention logs IDS/IPS alerts for post-incident investigation, and Rule Analysis generates downloadable CSV reports of detected anomalies.

These capabilities provide the technical foundation for detecting, monitoring, and logging various types of incidents, including the technical facts, effects, and initial remedial actions within the platform's scope.

However, the platforms do not automate the organizational processes for comprehensive personal data breach documentation, which includes notifying stakeholders, coordinating cross-functional response teams, assigning incident ownership, tracking incident resolution through to closure in a ticketing system, or producing management reports on incident posture.

The full documentation of a personal data breach, encompassing its effects on personal data and the complete remedial actions taken for supervisory authority verification, requires defined organizational procedures and dedicated incident management tooling beyond the platform's technical capabilities.",
34.1,IRO-10,"When the personal data breach is likely to result in a high risk to the rights and freedoms of natural persons, the controller shall communicate the personal data breach to the data subject without undue delay.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
34.2,IRO-10,"The communication to the data subject referred to in paragraph 1 of this Article shall describe in clear and plain language the nature of the personal data breach and contain at least the information and measures referred to in points (b), (c) and (d) of Article 33(3).",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
35.1,RSK-10,"Where a type of processing in particular using new technologies, and taking into account the nature, scope, context and purposes of the processing, is likely to result in a high risk to the rights and freedoms of natural persons, the controller shall, prior to the processing, carry out an assessment of the impact of the envisaged processing operations on the protection of personal data. A single assessment may address a set of similar processing operations that present similar high risks.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
35.2,PRI-01.4,"The controller shall seek the advice of the data protection officer, where designated, when carrying out a data protection impact assessment.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
35.3(a),RSK-10,"A data protection impact assessment referred to in paragraph 1 shall in particular be required in the case of:
a. a systematic and extensive evaluation of personal aspects relating to natural persons which is based on automated processing, including profiling, and on which decisions are based that produce legal effects concerning the natural person or similarly significantly affect the natural person;
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
35.3(b),RSK-10,"A data protection impact assessment referred to in paragraph 1 shall in particular be required in the case of:

b. processing on a large scale of special categories of data referred to in Article 9(1), or of personal data relating to criminal convictions and offences referred to in Article 10; or

",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
35.3(c),RSK-10,"A data protection impact assessment referred to in paragraph 1 shall in particular be required in the case of:

c. a systematic monitoring of a publicly accessible area on a large scale.
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
35.7(a),RSK-10,"The assessment shall contain at least:
a. a systematic description of the envisaged processing operations and the purposes of the processing, including, where applicable, the legitimate interest pursued by the controller;
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
35.7(b),RSK-10,"The assessment shall contain at least:

b. an assessment of the necessity and proportionality of the processing operations in relation to the purposes;
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
35.7(c),RSK-10,"The assessment shall contain at least:

c. an assessment of the risks to the rights and freedoms of data subjects referred to in paragraph 1; and
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
35.7(d),RSK-10,"The assessment shall contain at least:

d. the measures envisaged to address the risks, including safeguards, security measures and mechanisms to ensure the protection of personal data and to demonstrate compliance with this Regulation taking into account the rights and legitimate interests of data subjects and other persons concerned.
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
35.8,RSK-10,"Compliance with approved codes of conduct referred to in Article 40 by the relevant controllers or processors shall be taken into due account in assessing the impact of the processing operations performed by such controllers or processors, in particular for the purposes of a data protection impact assessment.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
35.9,RSK-10,"Where appropriate, the controller shall seek the views of data subjects or their representatives on the intended processing, without prejudice to the protection of commercial or public interests or the security of processing operations.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
35.11,RSK-10,"Where necessary, the controller shall carry out a review to assess if processing is performed in accordance with the data protection impact assessment at least when there is a change of the risk represented by processing operations.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
36.1,RSK-10,The controller shall consult the supervisory authority prior to processing where a data protection impact assessment under Article 35 indicates that the processing would result in a high risk in the absence of measures taken by the controller to mitigate the risk.,Not Applicable,"End user activity or process, design decision, or activity out of scope.",
37.1,PRI-01.4,"The controller and the processor shall designate a data protection officer in any case where:
a. the processing is carried out by a public authority or body, except for courts acting in their judicial capacity;
b. the core activities of the controller or the processor consist of processing operations which, by virtue of their nature, their scope and/or their purposes, require regular and systematic monitoring of data subjects on a large scale; or
c. the core activities of the controller or the processor consist of processing on a large scale of special categories of data pursuant to Article 9 or personal data relating to criminal convictions and offences referred to in Article 10.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
37.1(a),PRI-01.4,"The controller and the processor shall designate a data protection officer in any case where:
a. the processing is carried out by a public authority or body, except for courts acting in their judicial capacity;
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
37.1(b),PRI-01.4,"The controller and the processor shall designate a data protection officer in any case where:

b. the core activities of the controller or the processor consist of processing operations which, by virtue of their nature, their scope and/or their purposes, require regular and systematic monitoring of data subjects on a large scale; or
",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
37.1(c),PRI-01.4,"The controller and the processor shall designate a data protection officer in any case where:

c. the core activities of the controller or the processor consist of processing on a large scale of special categories of data pursuant to Article 9 or personal data relating to criminal convictions and offences referred to in Article 10.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
37.2,PRI-01.4,A group of undertakings may appoint a single data protection officer provided that a data protection officer is easily accessible from each establishment.,Not Applicable,"End user activity or process, design decision, or activity out of scope.",
37.3,PRI-01.4,"Where the controller or the processor is a public authority or body, a single data protection officer may be designated for several such authorities or bodies, taking account of their organisational structure and size.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
37.4,PRI-01.4,"In cases other than those referred to in paragraph 1, the controller or processor or associations and other bodies representing categories of controllers or processors may or, where required by Union or Member State law shall, designate a data protection officer. The data protection officer may act for such associations and other bodies representing controllers or processors.",Not Applicable,"End user activity or process, design decision, or activity out of scope.",
