ID,Category,Component,Component Display,Username / Identity,UID,Type,Tier,Purpose,Security Methods,Integrity Checks,Privileged Modifier Accounts,Privileged Modifier Controls,Access Methods,Authentication Mechanisms,Operations,Objects Controlled,Privilege Notes,Auth Log Path,Auth Log Signatures,Credential Modification Log Path,Anomaly Detection Method,SIEM auditID Filter Set,Vault-Integrated
NSX-EDG-OS-001,Account,nsx-lm,NSX Edge / VNA,root,0,OS,1,Primary OS administrative account for NSX Edge and Virtual Network Appliance (VNA) nodes. Used for appliance-level SSH access and OS operations. Managed by VCF Operations Fleet Management Engine.,Password managed by VCF Operations Fleet Management Engine.; Password rotation enforced across all NSX Edge and VNA nodes via automated remediation loop.,"VCF Operations monitors account status: ACTIVE, EXPIRING, EXPIRED, UNKNOWN.; Fleet Password Policy compliance tracked.","VCF Operations admin, CyberArk vault administrator.",Automated remediation loop execution across physical and virtual data plane routing endpoints.,"SSH (port 22), requires direct network access to NSX Edge management network.",Password authentication (managed by VCF Operations / CyberArk).,Full NSX Edge/VNA appliance OS administrative control.; Network data plane service management.; Configuration and certificate management.,NSX Edge/VNA appliance file system paths.; Data plane routing processes and configuration.,Tier 1 account. Full lifecycle automation per Section 2 OOTB Integration Matrix.,/var/log/auth.log (NSX Edge appliance OS),Accepted password for root; Failed password for root,VCF Operations audit log,Monitor for authentication failures and logins from unexpected source IPs.,session.create; session.destroy; user.create; user.update; user.delete; user.activate; user.deactivate; user.clear; role.create; role.update; role.delete; auth_policy.update; auth_policy.clear; account.changepassword; account.create; account.delete; account.locked; authentication.login; authentication.logout; passwordpolicy.update,Yes
NSX-EDG-APP-001,Account,nsx-lm,NSX Edge / VNA,admin,N/A,Application,1,Primary application-level administrative account for NSX Edge/VNA nodes. Used for CLI management and configuration of data plane components. Managed by VCF Operations Fleet Management Engine.,Password managed by VCF Operations Fleet Management Engine.; Password rotation enforced via automated remediation loop.,VCF Operations monitors account status.,VCF Operations admin.,Automated remediation loop execution across Edge nodes.,NSX Edge CLI (SSH/console).; NSX Manager UI (via Edge transport node management).,Password authentication.,"NSX Edge/VNA application administrative control.; Data plane configuration (routing, firewall, load balancing).",NSX Edge CLI configuration objects.; Data plane forwarding tables and tunnel endpoints.,Tier 1 account. Full lifecycle automation per Section 2 OOTB Integration Matrix.,NSX Edge audit log,authentication_success; authentication_failure,VCF Operations audit log,Monitor NSX Edge audit log for unexpected configuration changes.,session.create; session.destroy; user.create; user.update; user.delete; user.activate; user.deactivate; user.clear; role.create; role.update; role.delete; auth_policy.update; auth_policy.clear; account.changepassword; account.create; account.delete; account.locked; authentication.login; authentication.logout; passwordpolicy.update,Yes
NSX-EDG-APP-002,Account,nsx-lm,NSX Edge / VNA,audit,N/A,Application,1,Read-only audit account for NSX Edge/VNA nodes. Provides non-privileged access for security monitoring and compliance review. Cannot modify configuration. Managed by VCF Operations Fleet Management Engine.,Password managed by VCF Operations Fleet Management Engine.; Read-only privileges enforced at application layer.,VCF Operations monitors account status.,VCF Operations admin.,Password rotation via VCF Operations Fleet Management API.,"NSX Edge CLI (SSH/console), read-only.; NSX Manager UI, read-only views.",Password authentication.,"Read-only access to NSX Edge configuration, logs, and status.",NSX Edge/VNA configuration objects (read-only).; Audit logs and health status.,"Tier 1 account. Read-only; no write, modify, or delete capabilities.",NSX Edge audit log,authentication_success; authentication_failure,VCF Operations audit log,Alert on any attempt by this account to perform write operations.,session.create; session.destroy; user.create; user.update; user.delete; user.activate; user.deactivate; user.clear; role.create; role.update; role.delete; auth_policy.update; auth_policy.clear; account.changepassword; account.create; account.delete; account.locked; authentication.login; authentication.logout; passwordpolicy.update,Yes
SDDCM-OS-002,Account,sddc-manager,SDDC Manager,vcf,System-assigned,OS,1,Local OS service account for SDDC Manager internal processes. NOT managed by VCF Operations. Access via CLI only. Used by SDDC Manager application processes running on the appliance.,NOT managed by VCF Operations or CyberArk.; Manual management via CLI.,No automated monitoring.,root OS account (can sudo to modify).,Requires root OS access.,"SDDC Manager API (GET /v1/sddc-manager/local-os-user-accounts), retrieve only.; CLI via root sudo.",Password (local OS).,SDDC Manager application process execution.; Limited OS-level operations for SDDC Manager services.,SDDC Manager application directories and runtime files.,,/var/log/vmware/vcf/operationsmanager/operationsmanager.log,PasswordAudit:Received request for credentials lookup for resource,/var/log/vmware/vcf/operationsmanager/operationsmanager.log,Filter out authorized programmatic queries from svc-ops-sddc-manager-XXXX to isolate human-initiated credential lookups. Alert on lookups from unexpected service accounts.,account.login; account.login.failed; account.locked; account.changepassword; credential.update; passwordpolicy.update,
SDDCM-APP-002,Account,sddc-manager,SDDC Manager,backup,N/A,Application,1,SDDC Manager backup service account. Managed by VCF Operations Fleet Management in VCF 9.1. Used for SDDC Manager backup operations and associated credential management.,Managed by VCF Operations Fleet Management.; CyberArk vault integration supported in VCF 9.1.; SDDC Manager API (PATCH /v1/credentials) for rotation.,VCF Operations lifecycle metadata tracking.; Fleet Password Policy compliance monitoring.,"VCF Operations admin, SDDC Manager admin@local.",VCF Operations Fleet Management API enforces rotation policy.,SDDC Manager API (PATCH /v1/credentials).; VCF Operations Fleet Management API.,Password (managed by VCF Operations / CyberArk).,SDDC Manager backup operations.; Backup job creation and management.; SFTP/NFS backup destination access.,SDDC Manager backup configuration.; Backup data on configured backup targets.,,/var/log/vmware/vcf/operationsmanager/operationsmanager.log,PasswordAudit:Received request for credentials lookup for resource,/var/log/vmware/vcf/operationsmanager/operationsmanager.log,Filter out authorized programmatic queries from svc-ops-sddc-manager-XXXX to isolate human-initiated credential lookups. Alert on lookups from unexpected service accounts.,account.login; account.login.failed; account.locked; account.changepassword; credential.update; passwordpolicy.update,Yes
SDDCM-SVC-001,Account,sddc-manager,SDDC Manager,svc-vcf-<esx-hostname>,N/A,InterComponent,2,"Inter-component service account created by SDDC Manager for managing ESXi hosts during host commissioning, decommissioning, and lifecycle operations.",Provisioned automatically during host commissioning. Scheduled auto-rotation disabled by default to mitigate cluster performance bottlenecks across large scaling boundaries; on-demand rotation supported via SDDC Manager API.,SDDC Manager tracks credential state and updates its local credential store.,SDDC Manager admin,Auto-rotation disabled by default; on-demand execution supported via SDDC Manager API.,Internal SSH (port 22) / vSphere API (HTTPS port 443) from SDDC Manager to ESXi.,SSH key / Password authentication.,"ESXi host commissioning, patching, upgrade orchestration, and decommissioning.",Target ESXi host hypervisor configuration.,Tier 2 inter-component. Scoped to SDDC host lifecycle operations.,/var/log/vmware/vcf/operationsmanager/operationsmanager.log,PasswordAudit:Received request for credentials lookup,/var/log/vmware/vcf/operationsmanager/audit/password-events/audit-events.log,Monitor for unexpected host commissioning calls or host SSH authentication failures.,account.login; account.login.failed; credential.update,No (platform-managed)
SDDCM-SVC-002,Account,sddc-manager,SDDC Manager,svc-sddc-manager-<hostname>-vcenter-<hostname>@vsphere.local,N/A,InterComponent,2,Inter-component service account used by SDDC Manager to communicate with vCenter Server during workload domain orchestration.,Produced randomly via vCenter SSO frameworks. Fully automated rotation with support for automated calendar schedules and manual on-demand updates.,SDDC Manager tracks credential state and updates its local credential store.,"SDDC Manager admin, vCenter SSO admin",Automated rotation cycle. Manual on-demand rotation available via SDDC Manager API.,vSphere REST API (HTTPS port 443).,Username and password against vSphere SSO.,"vCenter host management, cluster lifecycle operations, storage and network domain configuration.",Target vCenter Server management plane objects.,Tier 2 inter-component. Full SDDC workflow automation scope.,/var/log/vmware/vcf/operationsmanager/operationsmanager.log,PasswordAudit:Received request for credentials lookup,/var/log/vmware/vcf/operationsmanager/audit/password-events/audit-events.log,Monitor for SDDC Manager to vCenter authentication failures or credential drift.,account.login; account.login.failed; credential.update,No (platform-managed)
VCENTER-OS-001,Account,vcenter,VMware vCenter,root,0,OS,1,"Primary OS administrative account for the vCenter Server Appliance (VCSA). Used for SSH access, VAMI (Appliance Management Interface) login, and by SDDC Manager / VCF Operations for automated lifecycle management.",Password managed by VCF Operations Fleet Management Engine (stateless passthrough).; CyberArk vault integration supported in VCF 9.1.; SDDC Manager (PATCH /v1/credentials) and VCF Operations API both support rotation.,VCF Operations lifecycle metadata (ACTIVE/EXPIRING/EXPIRED/UNKNOWN) tracked.; SDDC Manager reference copy maintained; DISCONNECTED status indicates local drift.,"SDDC Manager service account, VCF Operations admin, any user with SSH root access to VCSA, VAMI admin.","Modifying root password locally via VAMI or SSH without VCF Operations will desynchronize SDDC Manager's credential store, breaking lifecycle workflows. All modifications must go through VCF Operations Fleet Management API or SDDC-M.","SSH (port 22) to vCenter appliance.; VAMI (port 5480), vSphere Appliance Management Interface.; VCF Operations Fleet Management API.; SDDC Manager API (PATCH /v1/credentials).",Password (managed by VCF Operations / CyberArk).; SSH key authentication (if configured).,"Full vCenter appliance OS administrative control.; VAMI management (certificates, networking, backups).; vCenter service management (start/stop/restart).; File system access including vCenter configuration and log files.",All VCSA file system paths.; vCenter configuration files (/etc/vmware).; vCenter certificates and keystores.; vCenter log files (/var/log/vmware).,,/var/log/auth.log,Accepted password for root; Failed password for root,/var/log/auth.log,Monitor for authentication failures and logins from unexpected source IPs.,authentication.login; authentication.logout; account.create; account.delete; account.edit; account.locked; account.changepassword; passwordpolicy.update,Yes
VCENTER-APP-001,Account,vcenter,VMware vCenter,administrator@vsphere.local,N/A,Application,1,Primary application-level SSO administrator account for vCenter Server. Used for vCenter Web Client / vSphere Client interactive login and API access. This account is the default vSphere SSO domain administrator and is used for initial deployment configuration and management.,"Password managed via SDDC Manager (PATCH /v1/credentials), manual rotation.; NOT managed by VCF Operations Fleet Management in VCF 9.1.; NOT integrated with CyberArk vault in VCF 9.1.; vSphere SSO password policy enforces complexity and expiration.",SDDC Manager stores a reference copy; manual remediation required if local change causes drift.; vSphere SSO enforces lockout policy after failed attempts.,vCenter SSO administrator-level accounts. SDDC Manager (via PATCH /v1/credentials API).,Any account with the vSphere SSO Administrator role can modify this account. Account password cannot be managed by CyberArk in VCF 9.1; must be rotated manually.,vSphere Client UI (HTTPS port 443).; vSphere REST API (HTTPS port 443).; SDDC Manager API (PATCH /v1/credentials) for password rotation.,Password authentication via vSphere SSO.; SSO token-based session after initial authentication.,"Full vCenter Server administrative access (all vSphere operations).; vSphere SSO domain administration (user/group management, identity source config).; All datacenter, cluster, host, VM, and network management operations.; Certificate management (VMCA).; vCenter extension and plugin management.","All vCenter inventory objects (datacenters, clusters, hosts, VMs, networks, datastores).; vSphere SSO identity store.; Global permissions and role assignments.; vCenter plugins and extensions.",EXCLUDED from VCF Operations Fleet Management in VCF 9.1. Rotation must be performed manually via SDDC Manager API or vCenter VAMI. This is a known scope limitation documented in the VCF 9.1 release.,/var/log/vmware/sso/ssoAdminServer.log,Authenticated successfully for user administrator@vsphere.local; Login failed for user administrator@vsphere.local; Account locked: administrator@vsphere.local,/var/log/vmware/sso/ssoAdminServer.log,Monitor for failed login bursts and off-hours authentication. Alert on account lockout events. Track API calls to vCenter REST API from unexpected source IPs.,authentication.login; authentication.logout; account.create; account.delete; account.edit; account.locked; account.changepassword; passwordpolicy.update,No (manual lifecycle)
VCENTER-SVC-001,Account,vcenter,VMware vCenter,vpxuser,2000,InterComponent,2,"Service account created by vCenter Server on each managed ESXi host for ongoing host daemon (vpxd) communication, host monitoring, and VM power operations.",Fully automated lifecycle management by vCenter Server (`VirtualCenter.VimPasswordExpirationInDays`). Default 30-day rolling rotation interval (90-day maximum policy window). Not exposed to administrators.,vCenter Server monitors and auto-renews credentials on the 30-day schedule. No customer action required.,vCenter Server daemon (vpxd),Fully automated by vCenter Server. No manual modification path.,vSphere API (HTTPS port 443 on ESXi host).,Username and password generated by vCenter.,"vCenter Server host daemon management, VM lifecycle operations, storage/network configuration.",Managed ESXi host resources and running virtual machines.,Tier 2 inter-component. Scoped to vCenter host management.,/var/log/auth.log (ESXi host),vpxuser login; vpxuser API session,/var/log/auth.log (ESXi host),Monitor vCenter event log for vpxuser authentication failures or unexpected source IPs.,vim.connect; vim.disconnect; account.changepassword,No (platform-managed)
VCF-AUTO-INV-007,Account,vcf-automation,VCF Automation,vmware-system-user,System-assigned,OS,1,Built-in VCF Automation system service user. Integrated into VCF Operations Fleet Management for automated lifecycle operations including upgrades and environment service orchestration. Listed in the Section 2 OOTB Integration Matrix as a managed account under VCF Management Services.,Credential written to a file on the appliance in clear text rather than to a protected store. Rotation is handled through VCF Operations fleet password management.,,,,Accessed by: Testbed automation,Username and password.,SSH admin access,Connects to: VCFA VA SSH (10.70.176.133),,,,,,"serviceaccounts.create; serviceaccounts.patch; secrets.create; secrets.delete; tokenreviews.create; clusterrolebindings.patch; rolebindings.patch; subjectaccessreviews.create [Kubernetes API server audit log, filter on verb+resource+responseStatus]",Yes
VCF-AUTO-INV-009,Account,vcf-automation,VCF Automation,project-serviceaccount,N/A,InterComponent,2,Used by Project Service to connect to VCFA Tenant Manager OIDC,Credential stored in: VCFA identity service,,,,Accessed by: Project Service,VCFA identity service,Project API scope,Connects to: VCFA Tenant Manager OIDC,,,,,,serviceaccounts.create; serviceaccounts.patch; secrets.create; secrets.delete; tokenreviews.create; clusterrolebindings.patch; rolebindings.patch; subjectaccessreviews.create,No (platform-managed)
VCF-AUTO-INV-010,Account,vcf-automation,VCF Automation,form-serviceaccount,N/A,InterComponent,2,Used by Form Service to connect to VCFA Tenant Manager OIDC,Credential stored in: VCFA identity service,,,,Accessed by: Form Service,VCFA identity service,Form Service API scope,Connects to: VCFA Tenant Manager OIDC,,,,,,serviceaccounts.create; serviceaccounts.patch; secrets.create; secrets.delete; tokenreviews.create; clusterrolebindings.patch; rolebindings.patch; subjectaccessreviews.create,No (platform-managed)
VCF-AUTO-INV-011,Account,vcf-automation,VCF Automation,eventbroker-serviceaccount,N/A,InterComponent,2,Used by Event Broker Service (EBS) to connect to VCFA Tenant Manager OIDC,Credential stored in: VCFA identity service,,,,Accessed by: Event Broker Service (EBS),VCFA identity service,EBS API scope,Connects to: VCFA Tenant Manager OIDC,,,,,,serviceaccounts.create; serviceaccounts.patch; secrets.create; secrets.delete; tokenreviews.create; clusterrolebindings.patch; rolebindings.patch; subjectaccessreviews.create,No (platform-managed)
VCF-AUTO-INV-012,Account,vcf-automation,VCF Automation,provisioning-serviceaccount,N/A,InterComponent,2,Used by Provisioning Service to connect to VCFA Tenant Manager OIDC,Credential stored in: VCFA identity service,,,,Accessed by: Provisioning Service,VCFA identity service,Provisioning API scope,Connects to: VCFA Tenant Manager OIDC,,,,,,serviceaccounts.create; serviceaccounts.patch; secrets.create; secrets.delete; tokenreviews.create; clusterrolebindings.patch; rolebindings.patch; subjectaccessreviews.create,No (platform-managed)
VCF-AUTO-INV-001,Account,vcf-automation,VCF Automation,helm-controller,N/A,K8s-ServiceAccount,3,Used by FluxCD Helm Controller to connect to Kubernetes API server,Credential stored in: In-cluster token,,,,Accessed by: FluxCD Helm Controller,In-cluster token,cluster-admin ClusterRole (full cluster access),Connects to: Kubernetes API server,,Kubernetes API server audit log (kube-apiserver audit policy),"verb:""create"",""resource"":""serviceaccounts""; ""verb"":""get"",""resource"":""secrets""; ""responseStatus"":{""code"":403}",Kubernetes API server audit log,Alert on unexpected ClusterRole/RoleBinding creation or modification involving this ServiceAccount. Monitor for secrets access from unexpected pods or namespaces. Kubernetes audit policy should capture all 'get/list/watch' on secrets resources.,"serviceaccounts.create; serviceaccounts.patch; secrets.create; secrets.delete; tokenreviews.create; clusterrolebindings.patch; rolebindings.patch; subjectaccessreviews.create [Kubernetes API server audit log, filter on verb+resource+responseStatus]",No (container-native)
VCF-AUTO-INV-002,Account,vcf-automation,VCF Automation,source-controller,N/A,K8s-ServiceAccount,3,Used by FluxCD Source Controller to connect to Kubernetes API server,Credential stored in: In-cluster token,,,,Accessed by: FluxCD Source Controller,In-cluster token,cluster-admin ClusterRole (full cluster access),Connects to: Kubernetes API server,,Kubernetes API server audit log (kube-apiserver audit policy),"verb:""create"",""resource"":""serviceaccounts""; ""verb"":""get"",""resource"":""secrets""; ""responseStatus"":{""code"":403}",Kubernetes API server audit log,Alert on unexpected ClusterRole/RoleBinding creation or modification involving this ServiceAccount. Monitor for secrets access from unexpected pods or namespaces. Kubernetes audit policy should capture all 'get/list/watch' on secrets resources.,"serviceaccounts.create; serviceaccounts.patch; secrets.create; secrets.delete; tokenreviews.create; clusterrolebindings.patch; rolebindings.patch; subjectaccessreviews.create [Kubernetes API server audit log, filter on verb+resource+responseStatus]",No (container-native)
VCF-AUTO-SEC-001,Object,vcf-automation,VCF Automation,crd-controller,N/A,RBAC role,,"Used by helm-controller, source-controller to connect to Kubernetes API (source.toolkit.fluxcd.io, helm.toolkit.fluxcd.io, core)","Credential stored in:,",,,,"Accessed by: helm-controller, source-controller",",",source.toolkit.fluxcd.io/:; helm.toolkit.fluxcd.io/:; namespaces/secrets/configmaps/serviceaccounts: get/list/watch; serviceaccounts/token: create; events: create/patch; configmaps:; leases:,"Connects to: Kubernetes API (source.toolkit.fluxcd.io, helm.toolkit.fluxcd.io, core)",,,,,,serviceaccounts.create; serviceaccounts.patch; secrets.create; secrets.delete; tokenreviews.create; clusterrolebindings.patch; rolebindings.patch; subjectaccessreviews.create,Not applicable
VCF-AUTO-INV-004,Account,vcf-automation,VCF Automation,flux-install-sa,N/A,K8s-ServiceAccount,3,Used by kapp-controller PackageInstall to connect to Kubernetes API,Credential stored in: In-cluster token,,,,Accessed by: kapp-controller PackageInstall,In-cluster token,cluster-admin (via ClusterRoleBinding in same file),Connects to: Kubernetes API,,Kubernetes API server audit log (kube-apiserver audit policy),"verb:""create"",""resource"":""serviceaccounts""; ""verb"":""get"",""resource"":""secrets""; ""responseStatus"":{""code"":403}",Kubernetes API server audit log,Alert on unexpected ClusterRole/RoleBinding creation or modification involving this ServiceAccount. Monitor for secrets access from unexpected pods or namespaces. Kubernetes audit policy should capture all 'get/list/watch' on secrets resources.,"serviceaccounts.create; serviceaccounts.patch; secrets.create; secrets.delete; tokenreviews.create; clusterrolebindings.patch; rolebindings.patch; subjectaccessreviews.create [Kubernetes API server audit log, filter on verb+resource+responseStatus]",No (container-native)
VCF-AUTO-SEC-002,Object,vcf-automation,VCF Automation,(Secret name injected at deploy),N/A,Kubernetes Secret,,Used by helm-controller pod to connect to OCI registry (Broadcom internal or customer registry),Credential stored in: Kubernetes Secret,,,,Accessed by: helm-controller pod,Kubernetes Secret,Pull image from private registry,Connects to: OCI registry (Broadcom internal or customer registry),,,,,,serviceaccounts.create; serviceaccounts.patch; secrets.create; secrets.delete; tokenreviews.create; clusterrolebindings.patch; rolebindings.patch; subjectaccessreviews.create,Not applicable
VCF-AUTO-APP-001,Account,vcf-automation,VCF Automation,admin,N/A,Application,1,"Primary application-level administrative account for VCF Automation. Used for initial setup, configuration, and lifecycle management of the VCF Automation platform. Fully managed by VCF Operations Fleet Management and CyberArk in VCF 9.1.",Password managed by VCF Operations Fleet Management Engine.; CyberArk vault integration supported.; Authenticated via VCF Automation POST /api/v1/identity/token.,"VCF Operations monitors status: ACTIVE, EXPIRING, EXPIRED, UNKNOWN.","VCF Operations admin, CyberArk vault administrator.",Password rotation via VCF Operations Fleet Management API.,VCF Automation UI (HTTPS port 443).; VCF Automation REST API (HTTPS port 443).,Password auth via VCF Automation identity token API.; VCF Operations API uses Bearer token for programmatic rotation.,Full VCF Automation platform administrative control.; Tenant and project configuration.; Service catalog and workflow management.,VCF Automation configuration objects.; Tenant and project structures.; Service catalog items and workflows.,"Tier 1, Yes/Yes/Yes. See Section 2 OOTB Integration Matrix.",,,VCF Operations audit log,Monitor for unexpected configuration changes or API calls under this identity.,serviceaccounts.create; serviceaccounts.patch; secrets.create; secrets.delete; tokenreviews.create; clusterrolebindings.patch; rolebindings.patch; subjectaccessreviews.create,Yes
VCF-AUTO-OS-001,Account,vcf-automation,VCF Automation,admin@vsp.local,"N/A, vSphere SSO domain identity",OS,1,OS-level administrative account for the VCF Automation appliance. Used by VCF Operations Fleet Management for appliance-level lifecycle operations. Fully managed by VCF Operations Fleet Management and CyberArk in VCF 9.1.,Password managed by VCF Operations Fleet Management Engine.; CyberArk vault integration supported.,VCF Operations monitors status.,VCF Operations admin.,Password rotation via VCF Operations Fleet Management API.,VCF Automation appliance OS shell (restricted SSH).,Password auth (VCF Ops managed).,Appliance OS administrative operations.; Service management.,VCF Automation appliance OS file system.,"Tier 1, Yes/Yes/Yes. Listed in Section 2 OOTB Integration Matrix under VCF Management Services.",/var/log/auth.log,Accepted password for admin@vsp.local,VCF Operations audit log,Monitor for authentication failures and logins from unexpected source IPs.,"serviceaccounts.create; serviceaccounts.patch; secrets.create; secrets.delete; tokenreviews.create; clusterrolebindings.patch; rolebindings.patch; subjectaccessreviews.create [Kubernetes API server audit log, filter on verb+resource+responseStatus]",Yes
VCF-ORCH-OS-001,Account,vcf-automation,VCF Automation Orchestrator,root,0,OS,1,Primary OS administrative account for the VCF Automation Orchestrator (vRealize Orchestrator / VRO) appliance. NOT managed by VCF Operations vault or Fleet Management. Managed via CLI only.,"CLI-only lifecycle, no VCF Operations or SDDC Manager API integration.; Managed directly on the VRO appliance.",,Local appliance administrator.,Manual password change via CLI on the VRO appliance.,"SSH (port 22), VRO appliance management network.",Password auth (local).,Full VRO appliance OS administrative control.; Orchestrator engine management.,VRO appliance OS file system.; Orchestrator workflow engine.,"CLI only, not vault-integrated.",/var/log/auth.log,Accepted password for root,,Monitor for authentication from unexpected source IPs. Implement MFA or SSH key auth for console access.,"serviceaccounts.create; serviceaccounts.patch; secrets.create; secrets.delete; tokenreviews.create; clusterrolebindings.patch; rolebindings.patch; subjectaccessreviews.create [Kubernetes API server audit log, filter on verb+resource+responseStatus]",Pending confirmation
VCFOPS-APP-001,Account,vcf-ops,VCF Operations Console,admin,N/A,Application,1,"Primary application-level administrative account for VCF Operations Console. Used for UI login, REST API access, and all Fleet Management API calls. Self-manages its own password via Fleet Management.",Managed by VCF Operations Fleet Management (self-managed).; CyberArk vault integration supported.; API token (opstoken or Bearer) required for all API access.,VCF Operations lifecycle metadata tracking (self-monitoring).; Fleet Password Policy compliance applied to own interfaces.,"VCF Operations admin (self), CyberArk vault administrator.","Only Fleet Management API calls are accepted, Basic Auth rejected. Token-based auth required.",VCF Operations UI (HTTPS port 443).; VCF Operations REST API (suite-api).; OpsToken: POST /suite-api/api/auth/token/acquire.; Bearer Token: POST /{VIDB}/acs/t/CUSTOMER/token.,Password + OpsToken (POST /suite-api/api/auth/token).; API Token to Bearer Token (OAuth 2.0-compatible workflow).; Basic Authentication NOT accepted for Fleet Management endpoints.,"Full VCF Operations administrative access.; Fleet Management API (password query, rotation, policy).; Dashboard creation and management.; Alert configuration.; User and role management.; Integration with external vault (CyberArk, HashiCorp).",VCF Operations configuration.; All managed platform component credentials (via Fleet Management).; VCF Operations data stores.; SIEM and notification integrations.,Fleet Management RBAC: ADMIN role required. OPERATOR role cannot retrieve or modify credentials.,/storage/log/vcops/log/analytics.audit-##########.log,"auditID=""AUTHENTICATION_LOGIN""; Due to the following error: ""Account is locked""",/storage/log/vcops/logs/casa/casa-audit.log,Monitor for AUTHENTICATION_LOGIN events with locked-account errors; these indicate an out-of-band password change broke the Fleet Management authentication loop. Alert on >3 consecutive auth failures for any managed account.,authentication.login; authentication.logout; authentication.impersonate; user.create; user.update; user.delete; user.enable; user.disable; user_password.change; credential.create; credential.update; credential.delete; vcf_password_management.update_password; vcf_password_management.remediate_password; vcf_role_assignment.create; vcf_role_assignment.delete; role.create; role.update; role.delete; sso.create; sso.update; sso.delete; password_policy.update,Yes
VCFOPS-OS-001,Account,vcf-ops,VCF Operations Console,root,0,OS,1,OS administrative account for the VCF Operations appliance. Used for appliance-level SSH access and maintenance. Managed by VCF Operations Fleet Management.,Managed by VCF Operations Fleet Management.; CyberArk vault integration supported.; Best practice: set to never expire via chage -M -1 root to prevent Fleet Management loop breakage.,VCF Operations lifecycle metadata tracking.; Fleet Password Policy compliance monitoring.,"VCF Operations admin account, direct root SSH access.",Local password modification via CASA GUI will be logged at /storage/log/vcops/logs/casa/casa-audit.log and will desynchronize Fleet Management.,SSH (port 22) to VCF Operations appliance.; VCF Operations Fleet Management API.; Admin Console (CASA) UI at port 5480.,Password (managed by Fleet Management / CyberArk).; SSH key (if configured).,Full VCF Operations appliance OS control.; VCF Operations service management.; Log file access.; Certificate management.,VCF Operations OS file system.; VCF Operations data stores (/storage).; VCF Operations configuration files.; Audit logs at /storage/log/vcops.,,/storage/log/vcops/log/analytics.audit-##########.log,"auditID=""AUTHENTICATION_LOGIN""; Due to the following error: ""Account is locked""",/storage/log/vcops/logs/casa/casa-audit.log,Monitor for AUTHENTICATION_LOGIN events with locked-account errors; these indicate an out-of-band password change broke the Fleet Management authentication loop. Alert on >3 consecutive auth failures for any managed account.,authentication.login; authentication.logout; authentication.impersonate; user.create; user.update; user.delete; user.enable; user.disable; user_password.change; credential.create; credential.update; credential.delete; vcf_password_management.update_password; vcf_password_management.remediate_password; vcf_role_assignment.create; vcf_role_assignment.delete; role.create; role.update; role.delete; sso.create; sso.update; sso.delete; password_policy.update,Yes
VCFPROXY-OS-001,Account,vcf-ops,VCF Operations Unified Cloud Proxy,root,0,OS,1,"OS administrative account for the VCF Operations Unified Cloud Proxy appliance. Vault-integrated in VCF 9.1 GA. Managed via CLI only, no VCF Operations Fleet Management API support for this account (CLI is the update/retrieve mechanism). Password lifecycle: VCF Ops initiates rotation; Cloud Proxy applies via CLI command.",Managed by VCF Operations Fleet Management via CLI (no REST API).; CyberArk vault integration supported.; CLI-based password management only.,VCF Operations lifecycle metadata tracking.,"VCF Operations admin (CLI access), direct root SSH.",CLI-only access. No API endpoint for remote password management available at 9.1.,SSH (port 22) to Cloud Proxy appliance.; CLI only (no REST API for password management).,Password (managed by Fleet Management / CyberArk).,Cloud Proxy OS administrative operations.; Proxy service configuration and management.; Outbound connectivity configuration to VCF Operations cloud.,Cloud Proxy OS file system.; Proxy configuration and certificate files.,Automated Fleet Management API onboarding planned for a future release.,/storage/log/vcops/log/analytics.audit-##########.log,"auditID=""AUTHENTICATION_LOGIN""; Due to the following error: ""Account is locked""",/storage/log/vcops/logs/casa/casa-audit.log,Monitor for AUTHENTICATION_LOGIN events with locked-account errors; these indicate an out-of-band password change broke the Fleet Management authentication loop. Alert on >3 consecutive auth failures for any managed account.,authentication.login; authentication.logout; authentication.impersonate; user.create; user.update; user.delete; user.enable; user.disable; user_password.change; credential.create; credential.update; credential.delete; vcf_password_management.update_password; vcf_password_management.remediate_password; vcf_role_assignment.create; vcf_role_assignment.delete; role.create; role.update; role.delete; sso.create; sso.update; sso.delete; password_policy.update,Pending confirmation
VCFOPS-SVC-001,Account,vcf-ops,VCF Operations Console,svc-ops-vc-vcf-ops-cluster-<uid>@vsphere.local,N/A,InterComponent,2,"Service account used by VCF Operations to connect to vCenter Server for inventory collection, VM metrics retrieval, and monitoring.",Fully automated for greenfield VCF 9.1 deployments. Brownfield environments upgraded from legacy lines require a manual configuration switch to migrate off older tracking users. System-managed on standard 90-day rotation.,VCF Operations monitors the credential lifecycle. Automated renewal on rotation schedule.,VCF Operations admin,Automated rotation. Brownfield environments require manual migration switch.,vCenter Server REST API / vSphere API (HTTPS port 443).,Username and password against vSphere SSO.,"vCenter inventory read-access for monitoring, VM metrics and performance data collection, vCenter infrastructure topology discovery.",vCenter Server monitoring metrics and inventory topology.,Tier 2 inter-component. OAuth 2.0 migration planned for a future release.,/storage/log/vcops/log/analytics.audit.log,AUTHENTICATION_LOGIN,/storage/log/vcops/log/analytics.audit.log,Monitor analytics.audit.log for collection login failures or locked account alerts.,authentication.login; authentication.logout; vcf_password_management.update_password,Pending confirmation
