SCG ID,Secure Controls Framework ID,DISA STIG ID,PCI DSS 4.0.1 ID,NIST 800-53R5 ID,Component Name,Component Version,Feature/Function,Description/Title,Discussion,Potential Functional Impact if Default Value is Changed,Implementation Priority,Configuration Parameter,Installation Default Value,Baseline Suggested Value,Is the Default?,Action Needed,Setting Location,PowerCLI Command Assessment,PowerCLI Command Remediation
operations-9.certificates-validation,IAC-10.2,VCFA-9X-000262,4.2.1,IA-05(02),Operations,9.1.0,Base,VCF Operations must activate certificate validation.,"VCF Operations connects to many endpoints across the environment (vCenter, ESX, NSX, data sources, integrations), and certificate validation is what lets it confirm that the system it is talking to is the genuine one rather than an impostor. Validating a certificate means checking its certification path: that it chains to a trusted certificate authority, is within its validity period, and has not been revoked (via certificate revocation lists or OCSP).

With certificate validation off, VCF Operations accepts whatever certificate an endpoint presents, including a forged or self-signed certificate from an attacker positioned between VCF Operations and the endpoint (a man-in-the-middle). That attacker could then intercept or alter the data on those connections. Turning validation on closes that path, at the cost of requiring the endpoints VCF Operations connects to present trusted, valid certificates.","With certificate validation enabled, VCF Operations refuses connections to endpoints presenting untrusted, expired, or revoked certificates, so the endpoints it integrates with must have valid certificates from a trusted CA. With validation disabled, those connections succeed against any certificate, including a forged one, leaving the integration traffic open to interception by a man-in-the-middle.",P0,N/A,Not Configured,Configured,NO,Modify,UI: Operate > Global Settings > System Settings,N/A,N/A
operations-9.concurrent-sessions,IAC-23,VCFA-9X-000001,2.2.6,AC-10,Operations,9.1.0,Base,VCF Operations must limit the number of concurrent sessions.,"VCF Operations can either allow a user to hold multiple simultaneous UI sessions or limit each user to a single active session. Limiting each account to one session means a credential cannot be used in two places at once: a second simultaneous login with the same account is not allowed, so an attacker using a stolen credential cannot quietly run a session alongside the legitimate user. It also bounds the UI resources a single account can consume.

Deactivate the ""Concurrent UI login sessions"" option so each user is held to a single active UI session.","With concurrent sessions disabled, each user account is limited to one active UI session; a user (or automation) that legitimately needs to be logged in from two places at once will be blocked from the second session. Leaving concurrent sessions enabled allows a single account to hold many simultaneous sessions, which lets a stolen credential be used alongside the legitimate user without contention and removes a signal of credential misuse.",P0,N/A,Not Configured,Concurrent UI login sessions deactivated (single session per user),NO,Modify,UI: Operate > Global Settings > User Access,N/A,N/A
operations-9.credential-ownership-enforcement,CFG-08,VCFA-9X-000350,8.2.2,AC-03(11),Operations,9.1.0,Base,VCF Operations must enable credential ownership enforcement.,"VCF Operations stores credentials for the adapters it uses to integrate with other products (vCenter, storage, third-party data sources). These stored credentials grant access to the integrated systems, so they are sensitive. Credential ownership enforcement restricts each stored credential to the user who created it, so other VCF Operations users cannot select, reuse, or act through someone else's stored credential.

Without ownership enforcement, any user who can configure adapters could use another user's stored credentials to reach the systems those credentials authenticate to, which is a privilege-escalation and lateral-movement path. Enabling enforcement keeps each credential bound to its owner.","With ownership enforcement enabled, a stored adapter credential can only be used by the user who created it; workflows that relied on sharing a credential across operators will need each operator to hold their own, or to use a shared service account by design. Without enforcement, any user with adapter-configuration access can act through credentials another user stored, reaching the integrated systems those credentials authenticate to.",P0,N/A,Not Configured,Configured,NO,Modify,UI: Operate > Global Settings > System Settings,N/A,N/A
operations-9.firewall-hardening,"NET-03, NET-04.1",VCFA-9X-000353,"1.4.1, 1.4.2","SC-07, SC-07(05)",Operations,9.1.0,Base,VCF Operations must enable firewall hardening.,"A VCF Operations cluster uses some network ports only for inter-node communication, but by default those ports accept incoming connections from any source. Firewall hardening restricts those inter-node ports so they accept connections only from other members of the Operations cluster, removing the rest of the network as a potential source of traffic to them.","With firewall hardening enabled, the cluster's inter-node ports reject connections from outside the cluster, narrowing the attack surface to cluster members only. Leaving it off keeps those ports reachable from any source on the network, where they can be probed or attacked by anything that can route to a cluster node.",P0,N/A,Not Configured,Configured,NO,Modify,UI: Admin portal (/admin/) > Administrator Settings > Security Settings > Activate Firewall Hardening,N/A,N/A
operations-9.in-page-feedback,CFG-03,N/A,2.2.4,CM-07,Operations,9.1.0,Base,Disable VCF Operations in-page feedback.,"The in-page feedback setting controls whether VCF Operations presents a way to submit feedback to the vendor from within the interface. When enabled, an administrator can send comments and the submission goes to the vendor. This is outbound communication originating from the management environment, which some organizations restrict by policy. Disabling it removes the in-product feedback path. This is a data-handling and interface policy choice rather than a control that changes the security state of VCF Operations.",Disabling in-page feedback removes the feedback submission option from the VCF Operations interface; it does not affect operation or administration. Leaving it enabled keeps the in-product path for sending feedback to the vendor.,P1,In Page Feedback,Enabled,Disabled,NO,Modify,UI: Operate > Global Settings > System Settings > In Page Feedback,N/A,N/A
operations-9.log-collection,"MON-02, MON-02.2","VCFA-9X-000363, VCFA-9X-000382, VCFA-9X-000386, VCFN-9X-000085","10.2.1, 10.3.3","AU-06(04), SI-04",Operations,9.1.0,Logs,Configure VCF Operations log collection for all deployed components.,"VCF Operations centralizes log collection for the VCF environment: deployed components send their logs to VCF Operations, which retains and indexes them for search and correlation. VCF Operations also retains its own logs in the same platform, so they are captured without a separate forwarding step. This control covers enabling log collection for every deployed component so no source is left uncollected. vCenter and ESX are the exception -- they forward their logs directly to a central destination under their own log-forwarding controls -- so this umbrella covers the remaining components (NSX, VCF Operations for Networks, SDDC Manager, VCF Automation, HCX, and others present in the environment).

A central log destination gives two security benefits: the collected copy survives the loss or compromise of any single source component, since it is independent of the source; and it lets an operator correlate events across components during incident response without pulling data from each source individually. A component left out of collection keeps its only log record on the source, where an attacker who compromises that component can alter or clear it before it is seen elsewhere.

Enabling per-component collection has a prerequisite: each VCF instance must first be registered and enabled for collection in VCF Operations (Integrations > Accounts -- expand the VMware Cloud Foundation section and enable each instance and its workload domains). Until an instance is enabled there, the component log-collection toggles for it are inert and no logs are gathered, so register the instances and enable collection together.","With log collection configured for all deployed components, their log records survive source compromise and operators can correlate activity across the environment during an investigation. Leaving a component out of collection means its logs stay only on the source, where they can be altered or cleared before anyone reviews them, and no consolidated record exists for that component.",P0,N/A,Not Configured,Log collection enabled for all deployed components,NO,Modify,UI: Administration > Configurations > Log Management > Log Collection,N/A,N/A
operations-9.log-retention,MON-10,N/A,10.5.1,AU-11,Operations,9.1.0,Logs,Configure the VCF Operations log retention period.,"VCF Operations retains collected logs for a configurable period before aging them out to reclaim partition space. The retention period should be set to meet the organization's audit and forensic requirements: long enough that the log record covers the window an investigation is likely to need, but bounded so the log partition does not fill and force ingestion to pause or logs to age out faster than expected.

A retention period shorter than the required window means the log record an investigation depends on may already have been aged out by the time it is needed. One set too long for the available partition risks storage exhaustion, which can pause ingestion or drop the oldest data without warning. Size the partition and retention together against the expected ingest rate.","Setting retention to meet the audit requirement keeps the log record available for the period investigations need. Too short a period ages out logs before they are needed; too long for the partition risks filling it, which pauses ingestion or drops the oldest data.",P1,Log Partition retention period,Default partition allocation (not aligned to a specific retention requirement),Retention period configured to meet the organization's audit retention requirement,NO,Modify,UI: Administration > Configurations > Log Processing > Log Partition,N/A,N/A
operations-9.login-message,SEA-18,VCFA-9X-000347,2.2.6,AC-08,Operations,9.1.0,Base,Configure the VCF Operations login banner.,"A login banner displayed on the authentication page tells anyone reaching the login screen the conditions of system use, the consent-to-monitoring stance, and the consequences of unauthorized access. It is not a direct security control: a banner does not prevent an attacker from attempting to authenticate. Its value is procedural; the banner sets the conditions an authorized user agrees to by continuing, and the disclosure of monitoring supports administrative and legal follow-up against unauthorized access.

The banner text should be supplied by the organization's legal advisors; an example wording is included in the Baseline Suggested Value field as a starting point.","With a banner configured, anyone reaching the VCF Operations login page sees the organization's notice and consent text before authenticating. Leaving the banner unconfigured does not change the system's authentication behavior; users authenticate the same way, but without the notice that supports administrative or legal action against unauthorized use.",P1,N/A,Not Configured,"Consult your organization's legal advisors for text that is applicable to your environment.

An example is: ""Authorized users only. Actual or attempted unauthorized use of this system is prohibited and may result in criminal, civil, security, or administrative proceedings and/or penalties. Use of this information system indicates consent to monitoring and recording, without notice or permission. Users have no expectation of privacy in any use of this system. Any information stored on, or transiting this system, or obtained by monitoring and/or recording, may be disclosed to law enforcement and/or used in accordance with Federal law, State statute, and organization policy. If you are not an authorized user of this system, exit the system at this time.""",NO,Modify,UI: Operate > Global Settings > User Access > Login Message,N/A,N/A
operations-9.logs-authenticated-ingestion,"NET-04.12, MON-08",N/A,10.3.4,"AC-04(17), AU-09",Operations,9.1.0,Logs,Require authenticated log ingestion in VCF Operations.,"VCF Operations accepts forwarded logs over syslog and its ingestion API. The enforced authenticated log ingestion setting requires log sources to authenticate before their data is accepted, so a host on the network cannot inject fabricated or altered log entries into the central store simply by sending to the ingestion endpoint. The setting is off by default, which accepts log data without verifying the sender.

Unauthenticated ingestion lets any reachable system submit entries that then sit alongside genuine records, which an attacker can use to bury real activity in noise, plant misleading entries, or flood the pipeline. Requiring authentication ties accepted log data to known, credentialed sources.","Requiring authenticated ingestion means log forwarders must present valid credentials before their data is accepted; a source not configured to authenticate stops being ingested until it is updated. Leaving it off accepts log data from any reachable sender, including fabricated entries.",P0,Enforced Authenticated Log Ingestion,Deactivated,Enabled,NO,Modify,UI: Operate > Global Settings > System Settings > Enforced Authenticated Log Ingestion,N/A,N/A
operations-9.logs-ssl-api,"CRY-03, CRY-04",N/A,4.2.1,"SC-08, SC-08(01)",Operations,9.1.0,Logs,Enable SSL for API log ingestion in VCF Operations.,"VCF Operations can also receive logs through its ingestion API. The SSL API Ingestion setting encrypts that path so log data submitted by API clients is protected in transit. The setting is enabled by default; this control confirms it has not been turned off.

Disabling SSL on the API ingestion path would let submitted log data and the requests carrying it cross the network in cleartext, exposing them to capture or modification. Because the secure state is the default, the control is an audit that the default has been preserved.","Keeping SSL API Ingestion enabled protects log data submitted over the API in transit. Disabling it allows cleartext API ingestion, exposing log contents and requests to capture or modification on the network path.",P2,SSL API Ingestion,Enabled,Enabled,YES,Audit,UI: Operate > Global Settings > System Settings > SSL API Ingestion,N/A,N/A
operations-9.logs-ssl-syslog,"CRY-03, CRY-04",VCFA-9X-000196,4.2.1,"SC-08, SC-08(01)",Operations,9.1.0,Logs,Enable SSL for syslog log ingestion in VCF Operations.,"VCF Operations can receive logs over syslog. The SSL Syslog setting encrypts that ingestion path so log data sent by forwarders is protected in transit from interception or modification by anyone on the network path. The setting is enabled by default; this control confirms it has not been turned off.

Disabling SSL on the syslog path would let forwarded log data cross the network in cleartext, exposing it to passive capture and to tampering before it reaches the collector. Because the secure state is the default, the control is an audit that the default has been preserved.","Keeping SSL Syslog enabled protects forwarded log data in transit and matches what TLS-capable forwarders expect. Disabling it sends syslog ingestion in cleartext, exposing log contents to capture or modification on the network path.",P2,SSL Syslog,Enabled,Enabled,YES,Audit,UI: Operate > Global Settings > System Settings > SSL Syslog,N/A,N/A
operations-9.non-imported-vidm,"IAC-07, IAC-20",N/A,7.2.2,"AC-03, AC-06",Operations,9.1.0,Base,Restrict VCF Operations access to imported identity-provider users.,"When VCF Operations is integrated with an external identity provider, the non-imported user-access setting governs whether identity-provider users who have not been explicitly imported into VCF Operations can still authenticate and gain access. Left enabled, any user the identity provider can authenticate may reach VCF Operations even if an administrator never provisioned them with a role. Restricting access to imported users enforces explicit provisioning: a user gains access only after an administrator has added them and assigned a role, keeping the set of people who can reach the management plane aligned with the set an administrator has deliberately authorized.

This applies only where an external identity provider is integrated; it has no effect on locally defined accounts.",Restricting to imported users means a federated identity-provider user must be explicitly added and assigned a role before they can log in; until then they are denied. Leaving non-imported access enabled lets any identity-provider-authenticated user reach VCF Operations without an administrator having provisioned them.,P0,N/A,Allowed (non-imported identity-provider users can access),Restricted (non-imported identity-provider users denied),NO,Modify,UI: Operate > Global Settings > User Access,N/A,N/A
operations-9.password-complexity,IAC-10.1,VCFA-9X-000346,"8.3.1, 8.3.6",IA-05(01),Operations,9.1.0,Base,Enforce password complexity on VCF Operations local accounts.,"VCF Operations uses a local user store for administrative accounts that authenticate directly against the appliance, alongside any external identity provider the operator has configured. The password complexity policy on those local accounts determines what passwords the system accepts when an operator sets or rotates one. The recommended policy requires a 15-character minimum and at least one uppercase, lowercase, numeric, and special character.

Length is the dominant factor in resisting guessing and brute-force attempts, where an attacker systematically tries many candidate passwords; the character-class floor adds basic variety without forcing the long lists of composition rules that push users toward predictable substitutions. This policy is set in the appliance's global password policy and applies to local accounts. Do not require rotation in the absence of evidence of compromise.",Weakening the policy below the standard lets operators set short or trivially guessable passwords that a brute-force attack would succeed against quickly. Keeping it at the standard does not otherwise affect operation; operators choose passwords that meet the minimum length and include each required class.,P2,Password Policy,"Minimum length 15; at least 1 uppercase, 1 lowercase, 1 numeric, and 1 special character","Minimum length 15; at least 1 uppercase, 1 lowercase, 1 numeric, and 1 special character",YES,Audit,UI: Operate > Global Settings > User Access > Password Policy,N/A,N/A
operations-9.service-resilience,"BCD-11.7, BCD-12.2",N/A,2.2.6,"CP-09(06), SI-13",Operations,9.1.0,Base,"When VCF Operations runs as a multi-node cluster, DRS anti-affinity rules must separate the nodes across hosts.","When VCF Operations is deployed as a multi-node cluster for high availability or redundancy, DRS anti-affinity rules keep the cluster member appliances on different ESX hosts, so a single host failure cannot take down more than one cluster member at once. Without anti-affinity, DRS could place multiple cluster members on the same host, where one host failure removes the redundancy the cluster was meant to provide.

Use DRS anti-affinity ""should"" rules rather than ""must"" rules, so DRS and Lifecycle Manager can still relocate the appliances during patching or HA events. Not applicable if VCF Operations runs as a single node rather than a cluster.","With anti-affinity rules in place, a single ESX host failure can take at most one VCF Operations cluster member offline, preserving the analytics and management service. Without them, DRS may co-locate cluster members on one host, so a single host failure can remove multiple members and defeat the cluster's redundancy. The control does not apply to single-node deployments.","P0, Upon Feature Enablement",N/A,Not Configured,Configured,NO,Modify,UI: Cluster > Configure > VM/Host Rules,N/A,N/A
operations-9.session-timeout,IAC-25,VCFA-9X-000349,8.2.8,AC-12,Operations,9.1.0,Base,VCF Operations must enforce an idle session timeout.,"Session timeouts limit how long an authenticated session in VCF Operations can remain idle before the user is forced to re-authenticate. An unattended session that never expires is a credential exposure: anyone with physical access to the operator's workstation, or anyone who finds an unlocked terminal, can use the session as the original user with no further authentication challenge.

A reasonable inactivity timeout balances operator convenience against this exposure: long enough that operators don't have to log in repeatedly during a working session, short enough that an unattended terminal does not stay authenticated overnight or across the operator's absence.","With an inactivity timeout enforced, an unattended VCF Operations session ends after the configured idle interval and the user must re-authenticate to continue. Without a configured timeout, sessions remain authenticated as long as the browser tab or API client is alive, which leaves the credential usable by anyone who reaches the operator's workstation while the session is still open.",P0,N/A,Not Configured,900 seconds (15 minutes),NO,Modify,UI: Operate > Global Settings > System Settings > Session Inactivity Timeout,N/A,N/A
operations-9.unsigned-pak,"CHG-04.2, TDA-01.2",VCFA-9X-000292,6.5.1,"CM-14, SI-07(15)",Operations,9.1.0,Base,VCF Operations must disable unsigned management pack installation.,"VCF Operations is extended with management packs (PAK files) that add adapters, dashboards, and integrations. Signature verification checks that a management pack was signed by a recognized, approved publisher before it is installed, so that only vetted code and content is added to the platform. The ""Allow unsigned PAK installation"" option bypasses that check.

With unsigned PAK installation allowed, an operator (or an attacker who reaches the admin portal) can install a management pack that has not been signed or vetted, introducing untrusted code into VCF Operations with the platform's privileges. Keep unsigned PAK installation disabled so every management pack must carry a valid signature.","With unsigned PAK installation disabled, only management packs signed by an approved publisher can be installed; an unsigned or third-party pack that is not signed will be refused until it is properly signed. Allowing unsigned installation opens a path to load untrusted code into VCF Operations, which runs with broad access to the environment it monitors.",P2,N/A,Allow unsigned PAK installation disabled,Allow unsigned PAK installation disabled,YES,Audit,UI: Administrator Settings >> Security Settings,N/A,N/A
pnr-9.log-forwarding,MON-02,N/A,10.3.3,"AU-06, SI-04",Protection and Recovery,9.1.0,Syslog,The VCF Protection and Recovery appliance must forward its logs to a central log server.,"The Protection and Recovery appliance writes system and audit logs locally. Configuring syslog forwarding in the appliance management interface sends those logs to one or more central log servers, so the appliance's audit trail is retained off the appliance.

Logs kept only on the appliance are lost if it is destroyed, rebuilt, or compromised by an attacker who clears them, and the appliance has limited local log storage. Forwarding to a central collector keeps a durable copy that can be retained per policy and correlated with logs from other components. The fleet-wide VCF settings do not configure this appliance's syslog forwarding, so set it on the appliance directly. Use a secure transport (TLS) to the log server where the collector supports it.","With the appliance forwarding its logs to a central server, its audit trail survives an appliance loss, rebuild, or compromise that clears local logs, and can be retained and correlated centrally. Leaving forwarding unconfigured confines the logs to the appliance, where they are subject to local storage limits and lost with the appliance.",P0,N/A,Not Configured,Site-Specific (central log server),NO,Modify,UI: Protection and Recovery Appliance Management > Syslog Forwarding,N/A,N/A
pnr-9.ssh,"NET-14, CFG-03",N/A,2.2.4,"AC-17, CM-07",Protection and Recovery,9.1.0,SSH,The VCF Protection and Recovery appliance SSH service must be deactivated except for temporary diagnostic use.,"The Protection and Recovery appliance runs an SSH daemon that gives administrators an interactive shell on the appliance. Anyone who reaches the SSH listener with valid credentials gets shell access to the appliance, including its configuration and stored secrets. SSH is intended as a break-glass tool for diagnostics and recovery when the appliance management interface is not enough; it is not the routine management interface.

Disable SSH login so the appliance does not present an interactive shell listener during normal operation. An operator who needs SSH for a specific task enables it for the duration of that task and disables it again afterward.","Keeping SSH login disabled has no day-to-day operational cost; the appliance is managed through its management interface. Leaving SSH login enabled keeps an interactive shell listener on the appliance at all times, which is the surface the recommendation removes.",P0,N/A,Enabled,Disabled,NO,Modify,UI: Protection and Recovery Appliance Management > Access > SSH,N/A,N/A
pnr-9.time,"MON-07.1, SEA-20",N/A,"10.6.1, 10.6.2","AU-08, SC-45(01)",Protection and Recovery,9.1.0,Base,The VCF Protection and Recovery appliance must synchronize its clock with organizational reference sources.,"Accurate time on the Protection and Recovery appliance underpins certificate validity checks, the ordering of its audit and event logs, time-bounded authentication, and incident response that correlates events across systems. If the appliance clock drifts outside a certificate validity window, TLS handshakes fail, and its logs can no longer be aligned with logs from other components during an investigation.

Set the appliance's time-synchronization mode to NTP rather than disabling synchronization or following the underlying host, so it tracks a known reference rather than no source or a host whose own clock may be wrong. Point it at your organization's authoritative time sources and set the time zone to the organization's chosen value. Use one, or three or more, time sources rather than exactly two, so the appliance is never left arbitrating between two clocks that disagree.","An appliance with an inaccurate or unsynchronized clock fails operations that depend on time, such as TLS handshakes against certificates outside the validity window, and its audit logs cannot be aligned with other systems, which weakens incident investigation. Synchronizing to authoritative NTP sources has no workload impact.",P0,N/A,Undefined,Site-Specific (NTP mode; authoritative internal time servers; organizational time zone),NO,Modify,UI: Protection and Recovery Appliance Management > Time > Time Synchronization,N/A,N/A
sddc-9.api-admin,"IAC-15.9, IAC-10.8",VCFA-9X-000356,8.2.1,"IA-05, IA-05(05)",SDDC Manager,9.1.0,Base,SDDC Manager must configure the API admin account.,"SDDC Manager has a local ""admin"" account used to reach the VCF APIs when the management vCenter is unavailable and SSO-based access cannot be used. It is a break-glass account for recovery scenarios. The VCF installer sets a strong password on this account during deployment, so fresh installations have it configured. On environments upgraded from an earlier release, or deployed via the API without setting it, the account's password can be left unset, which leaves the account unusable for the recovery cases it exists for.

Confirm the API admin account has a strong password set, particularly after an upgrade, and store the credential where the recovery team can reach it out-of-band, since the situations that call for it are exactly those where normal management access is down.","With the API admin password set (which the VCF installer does by default), the account is available for API-based recovery when vCenter or SSO is down; if it has been left unset on an upgraded or API-deployed environment, that recovery path is unavailable until a password is set. The credential is highly privileged, so protect it and store it securely out-of-band.",P2,"Set a strong password on the local admin account via the SDDC Manager API:

curl 'https://<sddc-manager>/v1/users/local/admin' \
  -i -k -X PATCH \
  -H 'Authorization: Bearer <token>' \
  -H 'Content-Type: application/json' \
  --data '{""password"": ""<new-strong-password>""}'

Confirm the exact request-body schema in Developer Center > API Explorer > Users.",Configured (strong password set by the VCF installer),Strong password set on the API admin account,YES,Audit,API: SDDC Manager API (no UI toggle; obtain a bearer token from SDDC Manager > Developer Center > API Explorer > Tokens > POST first),N/A,N/A
sddc-9.basic-auth-disable,IAC-10,VCFA-9X-000355,8.2.1,"IA-05, IA-05(01)",SDDC Manager,9.1.0,Base,Disable HTTP Basic Authentication on the SDDC Manager API.,"HTTP Basic Authentication transmits credentials as a base64-encoded string in the Authorization header, which is trivially decoded once captured. Even when the session is wrapped in TLS, any logging or proxy that records the header exposes the credentials. SDDC Manager supports bearer-token authentication for API access; basic authentication should be disabled in favor of that.",Existing automation that uses basic authentication against the SDDC Manager API will start failing. Identify and re-tool such consumers to use bearer tokens before disabling.,P0,"Disable via the SDDC Manager API:

curl 'https://<sddc-manager>/v1/sddc-manager' \
  -i -k -X PATCH \
  -H 'Authorization: Bearer <token>' \
  -H 'Content-Type: application/json' \
  --data '{""basicAuthSpec"": {""status"": ""DISABLE""}}'

Verify by GET on the same URL; ""basicAuthDetails.status"" should report ""DISABLED"".",Enabled,Disabled,NO,Modify,API: SDDC Manager API (no UI toggle; obtain a bearer token from SDDC Manager > Developer Center > API Explorer > Tokens > POST first),N/A,N/A
vcenter-9.account-lockout-duration,IAC-22,VCFA-9X-000139,8.3.4,AC-07,vCenter,9.1.0,Base,Set the vCenter account auto-unlock interval.,"After an account is locked by repeated failed logins, the auto-unlock interval (Unlock time) controls how long it stays locked before vCenter SSO unlocks it automatically. Never unlocking forces an administrator to clear every locked account by hand; while that stops an automated guessing attack from retrying, it also hands an attacker an easy denial-of-service: deliberately failing logins against many accounts locks them all until manual intervention. An auto-unlock interval lets locked accounts recover on their own after a delay, which limits both brute-force retries and the lockout-as-denial-of-service risk. The default interval balances these.","With an interval set, a locked account becomes usable again after it elapses without administrator action, so a burst of failed logins causes only a temporary lockout. Setting it to never-unlock turns repeated failed logins into a denial-of-service against the affected accounts until an administrator intervenes.",P2,Unlock time,300,300,YES,Audit,UI: vCenter SSO Configuration,Get-SsoLockoutPolicy | Select-Object AutoUnlockIntervalSec,Get-SsoLockoutPolicy | Set-SsoLockoutPolicy -AutoUnlockIntervalSec 300
vcenter-9.account-lockout-max-attempts,IAC-22,VCFA-9X-000017,8.3.4,AC-07,vCenter,9.1.0,Base,Lock vCenter accounts after repeated failed login attempts.,"vCenter SSO locks a local account after a set number of consecutive failed logins, limiting how many guesses an attacker can make before the account becomes unavailable, which slows brute-force attempts where an attacker systematically tries many candidate passwords. A small but non-zero threshold catches guessing without locking users out over a few honest typos. The default meets this and satisfies many regulatory minimums.","With the threshold set, an account locks after the configured number of consecutive failures, briefly interrupting a user who mistypes repeatedly. Setting it too low locks users out on normal typos; disabling it removes a key brake on password guessing.",P2,Maximum number of failed login attempts,5,5,YES,Audit,UI: vCenter SSO Configuration,Get-SsoLockoutPolicy | Select-Object MaxFailedAttempts,Get-SsoLockoutPolicy | Set-SsoLockoutPolicy -MaxFailedAttempts 5
vcenter-9.account-lockout-reset,IAC-22,VCFA-9X-000017,8.3.4,AC-07,vCenter,9.1.0,Base,Set the vCenter failed-login counting interval.,"The failed-login counting interval (Time interval between failures) is the window over which vCenter SSO counts consecutive failures toward the lockout threshold. A longer window means failures are remembered longer, so an attacker cannot reset the count by spacing guesses out, which strengthens the lockout against slow brute-force attempts where an attacker systematically tries many candidate passwords. The recommendation lengthens the default window.",Lengthening the interval makes the lockout threshold harder to evade by pacing guesses; it does not affect normal use. Too short an interval lets an attacker avoid lockout by pausing between attempts.,P1,Time interval between failures,180,900,NO,Modify,UI: vCenter SSO Configuration,Get-SsoLockoutPolicy | Select-Object FailedAttemptIntervalSec,Get-SsoLockoutPolicy | Set-SsoLockoutPolicy -FailedAttemptIntervalSec 900
vcenter-9.administration-client-plugins,"TPM-04, TPM-03",VCFA-9X-000051,2.2.4,"SA-09, SR-02",vCenter,9.1.0,Base,Reduce or eliminate third-party vCenter plugins.,"Third-party plugins extend vCenter and the vSphere Client, and they run with access to vCenter and, for UI plugins, within the vSphere Client's privileged context. A plugin is therefore a trust relationship: a malicious or vulnerable plugin, or a compromise of the third-party system a plugin connects to, becomes a path into vCenter and a way for an attacker to move laterally between systems. Tightly coupling other products to vCenter through plugins also tends to impede timely patching and upgrades, because the plugin and the coupled product must stay compatible.

Inventory the installed plugins and keep only those that add enough value to justify the trust and coupling they introduce; prefer a product's own management console over a deep vCenter plugin where that is a reasonable alternative. Remove plugins that are unused, unmaintained, or no longer needed.","Removing an unused or unnecessary plugin has no effect on the workflows that did not rely on it, and narrows the set of third-party code that runs with vCenter access. Removing a plugin that an active workflow depends on breaks that integration, so confirm a plugin is genuinely unneeded before removing it; keeping unnecessary plugins enlarges the vCenter attack surface and the patch-coordination burden.",P1,N/A,Not Configured,Configured,NO,Modify,UI: vCenter > Administration > Solutions > Client Plugins,N/A,N/A
vcenter-9.administration-sso-groups,"IAC-16.2, IAC-01.2",VCFA-9X-000338,7.2.2,"IA-04, IA-04(04)",vCenter,9.1.0,Base,VMware vCenter must separate authentication and authorization for administrators.,"Many organizations use a single central directory (such as Active Directory) for both authenticating administrators and authorizing them. When the same source does both, an attacker who compromises that directory can add themselves to the group that grants vCenter administration and simply log in; the directory's own administrators also implicitly hold vCenter administration. Separating the two means an administrator authenticates against the directory but their vCenter authorization comes from a separate source that the directory's compromise does not control.

Use local VCF SSO groups to grant vCenter administrative authorization, rather than mapping vCenter admin roles directly onto Active Directory groups. An administrator still authenticates with their directory identity, but membership in the local SSO group that confers vCenter privileges is managed in vCenter SSO, so an AD compromise alone does not grant vCenter administration.","With administrative authorization granted through local VCF SSO groups, provisioning or changing a vCenter administrator's access is done in vCenter SSO rather than purely in the directory, which is a small additional step (automatable with PowerCLI). The benefit is that compromising the directory no longer directly yields vCenter administration; an attacker would also have to alter the local SSO group membership.",P0,N/A,Site-Specific,"Administrator authorization granted via local VCF SSO groups; directory (e.g., AD) used for authentication only",NO,Modify,UI: vCenter SSO Configuration,N/A (No public API available),N/A (No public API available)
vcenter-9.bashshelladministrators,"IAC-16, IAC-15.5",VCFA-9X-000333,7.2.2,AC-02(09),vCenter,9.1.0,Base,VMware vCenter must restrict membership of the SystemConfiguration.BashShellAdministrators SSO group.,"vCenter VCF SSO integrates with PAM in the underlying Photon operating system so members of the ""SystemConfiguration.BashShellAdministrators"" VCF SSO group can log on to the operating system without needing a separate account. However, even though unique VCF SSO users log on, they are transparently using a group account named ""sso-user"" as far as Photon auditing is concerned. While the audit trail can still be traced back to the individual VCF SSO user, it is a more involved process.

To force accountability and nonrepudiation, the VCF SSO group ""SystemConfiguration.BashShellAdministrators"" must be severely restricted.","Restricting the BashShellAdministrators group to the minimum set of administrators who genuinely need vCenter OS shell access limits how many identities can reach the appliance shell, and keeps the (shared sso-user) shell audit trail short enough to trace. Over-populating the group, for example by leaving the SSO Administrators group as a member, grants OS shell access to everyone in it, expanding the highly privileged shell-access surface and muddying accountability.",P0,N/A,Site-Specific,Membership restricted to the minimum set of administrators who require OS shell access,NO,Modify,UI: Administration >> Single Sign On >> Users and Groups >> Groups,N/A,N/A
vcenter-9.ceip-disable,CFG-03,N/A,2.2.4,CM-07,vCenter,9.1.0,Base,Disable the vCenter Customer Experience Improvement Program.,"The Customer Experience Improvement Program (CEIP) collects product usage and diagnostic data from vCenter and sends it to the vendor for product improvement. The data describes how the product is configured and operated; it is not customer workload data. Organizations that restrict outbound data from the management environment, or that operate the management plane in an isolated network, disable CEIP so vCenter does not originate that traffic. This is a data-handling policy choice that reduces outbound communication from the management plane rather than a control that changes the security state of vCenter.",Disabling CEIP removes a feedback channel to the vendor for product improvement data; it does not affect vCenter function or the supportability of unrelated cases. Leaving it enabled continues that outbound reporting.,P1,N/A,Enabled (may vary by deployment method),Disabled,NO,Modify,UI: Administration > Deployment > Customer Experience Improvement Program,N/A (No public API available),N/A (No public API available)
